,gtfs_agency_name,gtfs_stop_id,gtfs_stop_lat,gtfs_stop_lon,gtfs_route_id,gtfs_ZDEr_ID_REF_A,gtfs_dest_name,gtfs_stop_name,osm_stop_id,osm_lon,osm_lat,osm_osm:ref:FR:STIF:ExternalCode_Line,osm_osm:ref:FR:STIF,osm_destination,osm_name,distance
4862,Sénart-Bus,StopPoint:29:2006,48.618452,2.542633,065487100:Tzen1,33525,CORBEIL ESSONNES GARE RER,CARRE - CANAL,StopPoint:Node:1349414678,2.5420167,48.619320599999995,065487100:Tzen1,33525,Corbeil-Essonnes Gare RER,Carré Canal,106.74448675063383
4863,Sénart-Bus,StopPoint:29:2007,48.618479,2.542743,065487100:Tzen1,33526,LIEUSAINT  MOISSY GARE RER,CARRE - CANAL,StopPoint:Node:1349414679,2.542165,48.6193635,065487100:Tzen1,33526,Lieusaint - Moissy Gare RER,Carré Canal,107.19341868892971
4868,Sénart-Bus,StopPoint:29:2012,48.614672,2.532908,065487100:Tzen1,40570,CORBEIL ESSONNES GARE RER,CARRE ALLEE ROYAL,StopPoint:Node:2974301415,2.5326074999999997,48.6139746,065487100:Tzen1,40570,Corbeil-Essonnes Gare RER,Carré Allée Royale,80.65564720978527
4870,Sénart-Bus,StopPoint:29:2014,48.614441,2.516323,065487100:Tzen1,40572,CORBEIL ESSONNES GARE RER,LA CLEF DE SAINT PIERRE,StopPoint:Node:1349414718,2.5189714999999997,48.613918999999996,065487100:Tzen1,40572,Corbeil-Essonnes Gare RER,La Clé de Saint-Pierre,203.73240909201564
4871,Sénart-Bus,StopPoint:29:2015,48.614102,2.516102,065487100:Tzen1,40573,LIEUSAINT  MOISSY GARE RER,LA CLEF DE SAINT PIERRE,StopPoint:Node:1349414713,2.518907,48.6138303,065487100:Tzen1,40573,Lieusaint - Moissy Gare RER,La Clé de Saint-Pierre,209.0235386542289
4875,Sénart-Bus,StopPoint:29:2019,48.619389,2.510298,065487100:Tzen1,33534,LIEUSAINT  MOISSY GARE RER,LA TOUR MAURY,StopPoint:Node:1349414732,2.5100029999999998,48.6187215,065487100:Tzen1,33534,Lieusaint - Moissy Gare RER,La Tour Maury,77.34847506506772
4876,Sénart-Bus,StopPoint:29:2020,48.624337,2.51449,065487100:Tzen1,33535,CORBEIL ESSONNES GARE RER,LES PRES HAUTS,StopPoint:Node:1349414733,2.5154951999999997,48.6257557,065487100:Tzen1,33535,Corbeil-Essonnes Gare RER,Les Prés Hauts,174.29966088953176
4877,Sénart-Bus,StopPoint:29:2021,48.624389,2.514316,065487100:Tzen1,33536,LIEUSAINT  MOISSY GARE RER,LES PRES HAUTS,StopPoint:Node:1349414739,2.5153811,48.625778,065487100:Tzen1,33536,Lieusaint - Moissy Gare RER,Les Prés Hauts,173.2718225996083
4879,Sénart-Bus,StopPoint:29:2023,48.62897,2.492543,065487100:Tzen1,33538,LIEUSAINT  MOISSY GARE RER,POINTE RINGALE,StopPoint:Node:1349414751,2.4940739,48.629512899999995,065487100:Tzen1,33538,Lieusaint - Moissy Gare RER,Pointe Ringale,127.98196563578263
4935,Sénart-Bus,StopPoint:29:57,48.653393,2.561439,065487110:SOL,33037,COMBS LA VILLE GARE RER,ORMEAU  MONGE,StopPoint:Node:2874052985,2.5599621999999997,48.652637999999996,065487110:SOL,33037,Combs-la-Ville - Quincy Gare RER,Ormeau Monge,137.43483438643074
