line_id,route_id,stop_id,lat,lon
Line:Relation:7921051,Route:Relation:1239821,StopPoint:Node:333289777,48.5319492,2.3714589
Line:Relation:7853637,Route:Relation:1240493,StopPoint:Node:1246350819,48.567345599999996,2.3554006
Line:Relation:1083436,Route:Relation:1245269,StopPoint:Node:1358045459,48.864786099999996,2.3655786
Line:Relation:1083436,Route:Relation:1245270,StopPoint:Node:1113455239,48.8761282,2.3586508
Line:Relation:1245875,Route:Relation:1245873,StopPoint:Node:2386426190,48.8389593,2.2698728
Line:Relation:1245875,Route:Relation:1245874,StopPoint:Node:306912828,48.8397095,2.3019344999999998
Line:Relation:1246520,Route:Relation:1246518,StopPoint:Node:2042622872,48.8714194,2.3313889
Line:Relation:1246520,Route:Relation:1246519,StopPoint:Node:2042461973,48.8249637,2.3042053
Line:Relation:1085979,Route:Relation:1246561,StopPoint:Node:1327851940,48.8858712,2.3164829
Line:Relation:1085979,Route:Relation:1246562,StopPoint:Node:1327851956,48.885427,2.3171603999999997
Line:Relation:226276,Route:Relation:1246572,StopPoint:Node:1692424983,48.8522703,2.3392048
Line:Relation:226276,Route:Relation:1246573,StopPoint:Node:1289287646,48.8677535,2.3774702999999997
Line:Relation:1083429,Route:Relation:1246636,StopPoint:Node:1264875564,48.851580299999995,2.3138039
Line:Relation:1083429,Route:Relation:1246637,StopPoint:Node:1179777386,48.8569798,2.3045047
Line:Relation:1083434,Route:Relation:1246644,StopPoint:Node:2562278276,48.8287854,2.3781309
Line:Relation:1083434,Route:Relation:1246645,StopPoint:Node:2378416435,48.8289316,2.3785184
Line:Relation:1083419,Route:Relation:1246683,StopPoint:Node:1272991474,48.8796896,2.2532270999999997
Line:Relation:1083419,Route:Relation:1246684,StopPoint:Node:1019136038,48.877449299999995,2.2339284
Line:Relation:387064,Route:Relation:1250702,StopPoint:Node:1129921284,48.849381,2.3538348
Line:Relation:1083428,Route:Relation:1250938,StopPoint:Node:1203766048,48.8602468,2.3273889
Line:Relation:1083428,Route:Relation:1250939,StopPoint:Node:1129921284,48.849381,2.3538348
Line:Relation:1083422,Route:Relation:1250984,StopPoint:Node:1179777386,48.8569798,2.3045047
Line:Relation:1083422,Route:Relation:1250985,StopPoint:Node:1361000501,48.8897173,2.3394547
Line:Relation:1086590,Route:Relation:1251022,StopPoint:Node:2042462202,48.859052299999995,2.3468098
Line:Relation:1086590,Route:Relation:1251023,StopPoint:Node:2078035939,48.8529056,2.3365858999999998
Line:Relation:1083427,Route:Relation:1252549,StopPoint:Node:1529620583,48.856532699999995,2.3253955
Line:Relation:952830,Route:Relation:1252550,StopPoint:Node:1573123809,48.8597441,2.344662
Line:Relation:1083427,Route:Relation:1252551,StopPoint:Node:1511887055,48.856456099999996,2.3250908
Line:Relation:952830,Route:Relation:1252552,StopPoint:Node:1589976329,48.864767,2.3426921
Line:Relation:1083431,Route:Relation:1252611,StopPoint:Node:1264875564,48.851580299999995,2.3138039
Line:Relation:1083431,Route:Relation:1252612,StopPoint:Node:1688696458,48.8702353,2.285301
Line:Relation:1083421,Route:Relation:1252613,StopPoint:Node:1529620551,48.856642799999996,2.3252417
Line:Relation:1083421,Route:Relation:1252614,StopPoint:Node:1355349576,48.827042399999996,2.3670123999999997
Line:Relation:1086445,Route:Relation:1253889,StopPoint:Node:1012296758,48.8401299,2.2343307
