route_id,name,code,destination,network
r1253898,Bus 76 : Bagnolet - Louise Michel → Châtelet,76,Châtelet,RATP
r1253899,Bus 75 : Porte de Pantin → Panthéon,75,Panthéon,RATP
r1253900,Bus 74 : Châtelet → Clichy-la-Garenne – Berges de Seine,74,Clichy-la-Garenne – Berges de Seine,RATP
r1253993,Bus 66 : Opéra → Saint-Ouen - Les Docks,66,Saint-Ouen - Les Docks,RATP
r1253994,Bus 67 : Stade Charléty-Porte de Gentilly → Palais Royal - Musée du Louvre,67,Palais Royal - Musée du Louvre,RATP
r1253995,Bus 68 : Place de Clichy → Châtillon-Montrouge,68,Châtillon - Montrouge,RATP
r1253996,Bus 67 : Palais Royal - Musée du Louvre → Stade Charléty - Porte de Gentilly,67,Stade Charléty - Porte de Gentilly,RATP
r1253997,Bus 66 : Saint-Ouen - Les Docks → Opéra,66,Opéra,RATP
r1253998,Bus 69 : Gambetta - Japon → Champ de Mars,69,Champ de Mars,RATP
r1254000,Bus 68 : Châtillon-Montrouge → Place de Clichy,68,Place de Clichy,RATP
r1254001,Bus 69 : Champ de Mars → Gambetta - Mairie du 20e,69,Gambetta - Mairie du 20e,RATP
r1254449,Bus 26 : Gare Saint-Lazare → Nation - Trône,26,Nation - Place des Antilles,RATP
r1254450,Bus 21 : Stade Charléty - Porte de Gentilly → Porte de Saint-Ouen,21,Porte de Saint-Ouen,RATP
r1254451,Bus 24 : École Vétérinaire de Maisons-Alfort → Panthéon,24,Panthéon,RATP
r1254452,Bus 27 : Porte d'Ivry → Gare Saint-Lazare,27,Gare Saint-Lazare,RATP
r1254453,Bus 21 : Porte de Saint-Ouen → Stade Charléty - Porte de Gentilly,21,Stade Charléty - Porte de Gentilly,RATP
r1254454,Bus 20 : Porte des Lilas → Louison Bobet,20,Louison Bobet,RATP
r1254455,Bus 24 : Panthéon → École Vétérinaire de Maisons-Alfort,24,Maisons-Alfort — École Vétérinaire de Maisons-Alfort,RATP
r1254456,Bus 27 : Gare Saint-Lazare → Porte d'Ivry,27,Porte d'Ivry - Claude Régaud,RATP
r1254457,Bus 22 : Porte de Saint-Cloud → Gare Saint-Lazare,22,Gare Saint-Lazare,RATP
r1254458,Bus 26 : Nation-Trône → Gare Saint-Lazare,26,Gare Saint-Lazare,RATP
r1254459,Bus 20 : Louison Bobet → Porte des Lilas,20,Porte des Lilas,RATP
r1254460,Bus 22 : Gare Saint-Lazare → Porte de Saint-Cloud,22,Porte de Saint-Cloud,RATP
r1255722,Bus 32 : Gare de l'Est → Porte d'Auteuil,32,Porte d'Auteuil,RATP
r1255723,Bus 29 : Porte de Montempoivre → Gare Saint-Lazare,29,Gare Saint-Lazare,RATP
r1255724,Bus 39 : Gare du Nord → Frères Voisin (Issy-les-Moulineaux),39,Frères Voisin (Issy-les-Moulineaux),RATP
r1255725,Bus 31 : Charles de Gaulle-Étoile → Gare de l'Est,31,Gare de l'Est,RATP
r1255726,Bus 32 : Porte d'Auteuil → Gare de l'Est,32,Gare de l'Est,RATP
r1255727,Bus 30 : Hôpital Européen Georges Pompidou → Pigalle,30,Pigalle,RATP
r1255728,Bus 30 : Pigalle → Hôpital Européen Georges Pompidou,30,Hôpital Européen Georges Pompidou,RATP
r1255729,Bus 29 : Gare Saint-Lazare → Porte de Montempoivre,29,Porte de Montempoivre,RATP
r1255730,Bus 39 : Frères Voisin (Issy-les-Moulineaux) → Gare du Nord,39,Gare du Nord,RATP
r1255731,Bus 31 : Gare de l'Est → Charles de Gaulle-Étoile,31,Charles de Gaulle-Étoile,RATP
r1257111,Bus 64 : Porte des Lilas → Denfert-Rochereau,64,Denfert-Rochereau,RATP
r1257112,Bus 61 : Pantin - Église de Pantin → Place d'Italie,61,Place d'Italie,RATP
r1257114,Bus 62 : Porte de France → Porte de Saint-Cloud,62,Porte de Saint-Cloud,RATP
r1257115,Bus 63 : Gare de Lyon → Porte de la Muette,63,Porte de la Muette,RATP
r1257116,Bus 60 : Gambetta - Japon → Porte de Montmartre,60,Porte de Montmartre,RATP
r1257117,Bus 62 : Porte de Saint-Cloud → Porte de France,62,Porte de France,RATP
r1257118,Bus 64 : Denfert-Rochereau → Porte des Lilas,64,Porte des Lilas,RATP
r1257119,Bus 61 : Place d'Italie → Pantin — Église de Pantin,61,Pantin — Église de Pantin,RATP
r1257120,Bus 63 : Porte de la Muette → Gare de Lyon,63,Gare de Lyon,RATP
r1257121,Bus 60 : Porte de Montmartre → Gambetta - Japon,60,Gambetta - Japon,RATP
r1257166,Bus 43 : Neuilly-sur-Seine — Bagatelle → Gare du Nord,43,Gare du Nord,RATP
r1257167,Bus 52 : Parc de Saint-Cloud → Opéra-Rue Halévy,52,Opéra-Rue Halévy,RATP
r1257168,"Bus 57 : Arcueil-Laplace RER → Porte de Bagnolet, Louis Ganne",57,Porte de Bagnolet - Louis Ganne,RATP
r1257169,Bus 46 : Château de Vincennes → Gare de l'Est,46,Gare de l'Est,RATP
r1257171,Bus 58 : Vanves - Lycée Michelet → Châtelet,58,Châtelet,RATP
r1257172,Bus 43 : Gare du Nord → Neuilly-sur-Seine — Bagatelle,43,Neuilly-sur-Seine — Bagatelle,RATP
r1257173,Bus 52 : Opéra-Rue Halévy → Parc de Saint-Cloud,52,Parc de Saint-Cloud,RATP
r1257174,Bus 57 : Porte de Bagnolet - Louis Ganne → Arcueil-Laplace RER,57,Arcueil-Laplace RER,RATP
r1257175,Bus 48 : Gare du Nord → Romainville Vassou,48,Porte des Lilas,RATP
r1257176,Bus 56 : Porte de Clignancourt → Château de Vincennes,56,Château de Vincennes,RATP
r1257177,Bus 58 : Châtelet → Lycée Michelet (Vanves),58,Lycée Michelet (Vanves),RATP
r1257178,Bus 47 : Châtelet → Fort du Kremlin-Bicêtre,47,Le Kremlin-Bicêtre - Fort du Kremlin-Bicêtre,RATP
r1257179,"Bus 54 : Asnières-sur-Seine, Gennevilliers, Gabriel Péri → Porte d'Aubervilliers",54,Porte d'Aubervilliers,RATP
r1257180,Bus 48 : Romainville Vassou → Gare du Nord,48,Gare du Nord,RATP
r1257181,Bus 56 : Château de Vincennes → Porte de Clignancourt,56,Porte de Clignancourt,RATP
r1257182,Bus 46 : Gare de l'Est → Château de Vincennes,46,Château de Vincennes,RATP
r1257184,Bus 47 : Fort du Kremlin-Bicêtre → Châtelet,47,Châtelet,RATP
r1257185,"Bus 54 : Porte d'Aubervilliers → Asnières-sur-Seine, Gennevilliers, Gabriel Péri",54,"Asnières-sur-Seine, Gennevilliers, Gabriel Péri",RATP
r1257205,Bus PC : Porte Maillot → Pont du Garigliano,PC,Pont du Garigliano,RATP
r1257209,Bus PC : Pont du Garigliano → Porte Maillot,PC,Porte Maillot,RATP
r1259085,Bus 187 : Fresnes - Les Groux → Porte d'Orléans,187,Porte d'Orléans,RATP
r1259514,Bus 184 : Pasteur (Fresnes) → Porte d'Italie,184,Porte d'Italie,RATP
r1259521,Bus 184 : Porte d'Italie → Pasteur (Fresnes),184,Pasteur (Fresnes),RATP
r1286111,Bus 1234 : Gare de Conflans Fin d'Oise → Gare de Conflans-Sainte-Honorine - Place Romagné,1234,Gare de Conflans-Sainte-Honorine - Place Romagné,Cergy-Pontoise Confluence
r1286298,Bus 192 : Robinson RER → Marée → Marché International de Rungis,192,Marché International de Rungis,RATP
r1286916,Bus 192 : Marché International de Rungis → Robinson RER,192,Robinson RER,RATP
r1299562,Bus 206 : Le Plessis-Trévise - Place de Verdun → Noisy-le-Grand–Mont d'Est RER,206,Noisy le Grand RER,RATP
r1302115,Bus 308 : Préfecture du Val-de-Marne (Créteil) → Villiers-sur-Marne–Le Plessis-Trévise RER,308,Villiers sur Marne,RATP
r1302116,Bus 308 : Villiers-sur-Marne – Le Plessis-Trévise RER → Préfecture du Val-de-Marne (Créteil),308,Préfecture du Val-de-Marne (Créteil),RATP
r1306435,Bus 210 : Villiers sur Marne-Le Plessis Trévise RER → Château de Vincennes,210,Château de Vincennes,RATP
r1306436,Bus 210 : Château de Vincennes → Villiers sur Marne-Le Plessis Trévise RER,210,Villiers sur Marne,RATP
r1307394,Bus 110 : Villiers-sur-Marne–Le Plessis-Trévise RER → Joinville-le-Pont RER,110,Joinville le Pont RER,RATP
r1307395,Bus 110 : Joinville-le-Pont RER → Villiers-sur-Marne–Le Plessis-Trévise RER,110,Villiers-sur-Marne - Le Plessis-Trévise RER,RATP
r1308542,Bus 207 : Hôpital de la Queue-en-Brie → Noisy-le-Grand–Mont d'Est RER,207,Noisy le Grand RER,RATP
r1308543,Bus 207 : Noisy-le-Grand–Mont d'Est RER → Hôpital de la Queue-en-Brie,207,Hôpital de la Queue en Brie,RATP
r1308544,Bus 206 : Noisy-le-Grand–Mont d'Est RER → Le Plessis-Trévise - Place de Verdun,206,Le Plessis-Trévise - Place de Verdun,RATP
