line_id,code,name,network,operator,colour,osm:type,mode,osm:ref:FR:STIF:ExternalCode_Line
Line:relation:7074022,RoissyBus,Bus RoissyBus : Paris–Opéra ↔ Aéroport Charles de Gaulle,RATP,RATP,#ff1400,route_master,bus,100100352:ROISSYB
Line:relation:7095879,486,Bus 486 : Marché de Juvisy ↔ Porte de l'Essonne (Athis-Mons),RATP,RATP,#008b59,route_master,bus,100100486:486
Line:relation:7095936,292,Bus 292 : ZAC Les Gâtines - Capitaine Jean d'Hers (Savigny-sur-Orge) ↔ Porte de l'Essonne (Athis-Mons),RATP,RATP,#f59eb3,route_master,bus,100100292:292
Line:relation:7097513,30B,Bus 30B : Circulaire de Goussainville,Les Courriers de l'Île-de-France,Keolis CIF,#00BDF3,route_master,bus,014014030:30B
Line:relation:7097520,30D,Bus 30D : Circulaire de Goussainville,Les Courriers de l'Île-de-France,Keolis CIF,#9AA223,route_master,bus,014014301:30D
Line:relation:7097563,12,Bus 12 : Chaumontel ↔ Goussainville,Les Courriers de l'Île-de-France,Keolis CIF,#007AC2,route_master,bus,014014012:12
Line:relation:7101486,414,Bus 414(D) : Évry-Courcouronnes Centre ↔ Le Plessis-Pâté ou Vert-le-Grand,Tice,Keolis Tice,#F094BB,route_master,bus,400400414:414
Line:relation:7105179,91-03,Bus 91-03 : Gare de Dourdan ↔ (Gare d'Orsay Ville) ↔ Gare de Massy-Palaiseau,Albatrans,Albatrans,#1AC7FF,route_master,bus,291191003:91-03
Line:relation:7105212,91-10,Bus 91-10 : Orly ↔ Massy ↔ Saint-Quentin-en-Yvelines,Albatrans,Albatrans,#FC86BF,route_master,bus,291191010:91-10
Line:relation:7114025,627,Bus 627 : Gare d'Aulnay-sous-Bois ↔ Garonor (Aulnay-sous-Bois),Seine-Saint-Denis,Transdev TRA,,route_master,bus,293193627:627
Line:relation:7119043,54,Bus 54 : Gare Sud de Poissy (circulaire via Technoparc - Lycée Charles De Gaulle),CSO,Transdev CSO,,route_master,bus,015015054:54
Line:relation:7119057,10,Bus 10 : Poissy Gare Nord (circulaire),CSO,Transdev CSO,#97bf0d,route_master,bus,015015010:10
Line:relation:7119161,25,Bus 25 : Gare Nord de Poissy ↔ Les Ouches (Chanteloup-les-Vignes),CSO,Transdev CSO,#e75294,route_master,bus,015015025:25
Line:relation:7119164,50,Bus 50 : Saint-Exupery (Poissy) ↔ La Coudraie (Poissy),CSO,Transdev CSO,,route_master,bus,015015050:50
Line:relation:7136184,Choisybus,Bus 582 : Choisybus : Service urbain de Choisy-le-Roi (circulaire),RATP,RATP,#E0B03B,route_master,bus,100100582:CHOISYB
Line:relation:7140481,6,Bus 6 : circulaire de Camberwell (Sceaux),Paladin,Bièvre Bus Mobilités,#6166FF,route_master,bus,020149006:6
Line:relation:7141723,95-34,Bus 95-34 : Saillancourt ↔ Marines,Busval d'Oise,CeoBus,#00E84F,route_master,bus,025195034:95-34
Line:relation:7142127,14,Bus 14 : Circulaire de Robinson (via Division Leclerc),Paladin,Bièvre Bus Mobilités,#0055FA,route_master,bus,020149014:14
Line:relation:7142158,1,Bus 1 : Gare de Chelles - Gournay ↔ Rond-Point des Sciences (Chelles),Apolo 7,STBC,#ffb814,route_master,bus,101261020:1
Line:relation:7147174,9,Bus 9 : Levasseur (Thiais) ↔ Centre Commercial - Pont de Vitry,Keolis Seine Val-De-Marne,Keolis Seine Val-De-Marne,#30A849,route_master,bus,002002009:9
Line:relation:7147185,30-43,Bus 30-43 : Ermont La Tour ↔ Gare de Cernay (Ermont),Valbus,Lacroix,#008000,route_master,bus,030030043:30-43
Line:relation:7176897,A,Bus A : Gare de Provins Quai 5 (circulaire),Probus,Procars,#DC0077,route_master,bus,228771009:PROBUSA
Line:relation:7177053,B,Bus B : Gare de Provins ↔ Gare de Provins ou Ville Haute,Probus,Procars,#009CC8,route_master,bus,228771009:PROBUSB
Line:relation:7177088,D,Bus D : Gare de Provins (circulaire via Rue Saint-Jean),Probus,Procars,#BDCD00,route_master,bus,228771009:PROBUSD
