line_id,ID_Line,code,ShortName_Line,network,NetworkName,operator,OperatorName,mode,TransportMode
r7921011,C00292,1,1,Argenteuil - Boucles de Seine,Argenteuil - Boucles de Seine,Keolis Argenteuil Boucles de Seine,Keolis Argenteuil Boucles de Seine,bus,bus
r8373352,C00294,2,2,Argenteuil - Boucles de Seine,Argenteuil - Boucles de Seine,Keolis Argenteuil Boucles de Seine,Keolis Argenteuil Boucles de Seine,bus,bus
r1842753,C00295,4,4,Argenteuil - Boucles de Seine,Argenteuil - Boucles de Seine,Keolis Argenteuil Boucles de Seine,Keolis Argenteuil Boucles de Seine,bus,bus
r8456090,C00296,5,5,Argenteuil - Boucles de Seine,Argenteuil - Boucles de Seine,Keolis Argenteuil Boucles de Seine,Keolis Argenteuil Boucles de Seine,bus,bus
r8187695,C00297,8,8,Argenteuil - Boucles de Seine,Argenteuil - Boucles de Seine,Keolis Argenteuil Boucles de Seine,Keolis Argenteuil Boucles de Seine,bus,bus
r8186765,C00298,9,9,Argenteuil - Boucles de Seine,Argenteuil - Boucles de Seine,Keolis Argenteuil Boucles de Seine,Keolis Argenteuil Boucles de Seine,bus,bus
r8393431,C00303,18,18,Argenteuil - Boucles de Seine,Argenteuil - Boucles de Seine,Keolis Argenteuil Boucles de Seine,Keolis Argenteuil Boucles de Seine,bus,bus
r2343189,C00306,34,34,Argenteuil - Boucles de Seine,Argenteuil - Boucles de Seine,Keolis Argenteuil Boucles de Seine,Keolis Argenteuil Boucles de Seine,bus,bus
r2625885,C00308,6,6,Argenteuil - Boucles de Seine,Argenteuil - Boucles de Seine,Keolis Argenteuil Boucles de Seine,Keolis Argenteuil Boucles de Seine,bus,bus
,C00309,,501,,Argenteuil - Boucles de Seine,,Keolis Argenteuil Boucles de Seine,,bus
,C00310,,502,,Argenteuil - Boucles de Seine,,Keolis Argenteuil Boucles de Seine,,bus
,C00311,,503,,Argenteuil - Boucles de Seine,,Keolis Argenteuil Boucles de Seine,,bus
r7011277,C00312,7,7,Argenteuil - Boucles de Seine,Argenteuil - Boucles de Seine,Keolis Argenteuil Boucles de Seine,Keolis Argenteuil Boucles de Seine,bus,bus
r7517220,C00316,J,J,Argenteuil - Boucles de Seine,Argenteuil - Boucles de Seine,Keolis Argenteuil Boucles de Seine,Keolis Argenteuil Boucles de Seine,bus,bus
r7517221,C00317,H,H,Argenteuil - Boucles de Seine,Argenteuil - Boucles de Seine,Keolis Argenteuil Boucles de Seine,Keolis Argenteuil Boucles de Seine,bus,bus
,C00324,,1,,Argenteuil - Boucles de Seine,,Keolis Argenteuil Boucles de Seine,,bus
,C00325,,12,,Argenteuil - Boucles de Seine,,Keolis Argenteuil Boucles de Seine,,bus
r7517223,C00330,A,A,Argenteuil - Boucles de Seine,Argenteuil - Boucles de Seine,Keolis Argenteuil Boucles de Seine,Keolis Argenteuil Boucles de Seine,bus,bus
r7920965,C00332,E,E,Argenteuil - Boucles de Seine,Argenteuil - Boucles de Seine,Keolis Argenteuil Boucles de Seine,Keolis Argenteuil Boucles de Seine,bus,bus
r7517253,C00334,K,K,Argenteuil - Boucles de Seine,Argenteuil - Boucles de Seine,Keolis Argenteuil Boucles de Seine,Keolis Argenteuil Boucles de Seine,bus,bus
r7517222,C00335,C,C,Argenteuil - Boucles de Seine,Argenteuil - Boucles de Seine,Keolis Argenteuil Boucles de Seine,Keolis Argenteuil Boucles de Seine,bus,bus
r8408136,C00336,M,M,Argenteuil - Boucles de Seine,Argenteuil - Boucles de Seine,Keolis Argenteuil Boucles de Seine,Keolis Argenteuil Boucles de Seine,bus,bus
r8449168,C00337,G,G,Argenteuil - Boucles de Seine,Argenteuil - Boucles de Seine,Keolis Argenteuil Boucles de Seine,Keolis Argenteuil Boucles de Seine,bus,bus
r7920966,C01473,02,2,Argenteuil - Boucles de Seine,Argenteuil - Boucles de Seine,Keolis Argenteuil Boucles de Seine,Keolis Argenteuil Boucles de Seine,bus,bus
r9219662,C01476,6,6,Argenteuil - Boucles de Seine,Argenteuil - Boucles de Seine,Keolis Argenteuil Boucles de Seine,Keolis Argenteuil Boucles de Seine,bus,bus
r9137679,C01478,12,12,Argenteuil - Boucles de Seine,Argenteuil - Boucles de Seine,Keolis Argenteuil Boucles de Seine,Keolis Argenteuil Boucles de Seine,bus,bus
,C01491,,37,,Argenteuil - Boucles de Seine,,Keolis Argenteuil Boucles de Seine,,bus
,C01492,,40,,Argenteuil - Boucles de Seine,,Keolis Argenteuil Boucles de Seine,,bus
r2653031,C01681,3,3,Argenteuil - Boucles de Seine,Argenteuil - Boucles de Seine,Keolis Argenteuil Boucles de Seine,Keolis Argenteuil Boucles de Seine,bus,bus
r7921036,C01755,D,D,Argenteuil - Boucles de Seine,Argenteuil - Boucles de Seine,Keolis Argenteuil Boucles de Seine,Keolis Argenteuil Boucles de Seine,bus,bus
r7517252,C01775,S6,S6,Argenteuil - Boucles de Seine,Argenteuil - Boucles de Seine,Keolis Argenteuil Boucles de Seine,Keolis Argenteuil Boucles de Seine,bus,bus
r8456130,C01822,17,17,Argenteuil - Boucles de Seine,Argenteuil - Boucles de Seine,Keolis Argenteuil Boucles de Seine,Keolis Argenteuil Boucles de Seine,bus,bus
r8316261,C02142,L,L,Argenteuil - Boucles de Seine,Argenteuil - Boucles de Seine,Keolis Argenteuil Boucles de Seine,Keolis Argenteuil Boucles de Seine,bus,bus
r8366461,C02144,T,T,Argenteuil - Boucles de Seine,Argenteuil - Boucles de Seine,Keolis Argenteuil Boucles de Seine,Keolis Argenteuil Boucles de Seine,bus,bus
,C02145,,S3,,Argenteuil - Boucles de Seine,,Keolis Argenteuil Boucles de Seine,,bus
,C02146,,S4,,Argenteuil - Boucles de Seine,,Keolis Argenteuil Boucles de Seine,,bus
,C02147,,S7,,Argenteuil - Boucles de Seine,,Keolis Argenteuil Boucles de Seine,,bus
r9853421,C02148,S1,S1,Argenteuil - Boucles de Seine,Argenteuil - Boucles de Seine,Keolis Argenteuil Boucles de Seine,Keolis Argenteuil Boucles de Seine,bus,bus
r7920964,C02149,B,B,Argenteuil - Boucles de Seine,Argenteuil - Boucles de Seine,Keolis Argenteuil Boucles de Seine,Keolis Argenteuil Boucles de Seine,bus,bus
r8298340,C02150,F,F,Argenteuil - Boucles de Seine,Argenteuil - Boucles de Seine,Keolis Argenteuil Boucles de Seine,Keolis Argenteuil Boucles de Seine,bus,bus
r10015706,C02151,S5,S5,Argenteuil - Boucles de Seine,Argenteuil - Boucles de Seine,Keolis Argenteuil Boucles de Seine,Keolis Argenteuil Boucles de Seine,bus,bus
r8316271,C02152,P,P,Argenteuil - Boucles de Seine,Argenteuil - Boucles de Seine,Keolis Argenteuil Boucles de Seine,Keolis Argenteuil Boucles de Seine,bus,bus
,C02153,,S2,,Argenteuil - Boucles de Seine,,Keolis Argenteuil Boucles de Seine,,bus
r11041995,C02264,20,20,Argenteuil - Boucles de Seine,Argenteuil - Boucles de Seine,Keolis Argenteuil Boucles de Seine,Keolis Argenteuil Boucles de Seine,bus,bus
,C02360,,56,,Argenteuil - Boucles de Seine,,Keolis Argenteuil Boucles de Seine,,bus
,C02361,,57,,Argenteuil - Boucles de Seine,,Keolis Argenteuil Boucles de Seine,,bus
,C02516,,SRL LVT,,Argenteuil - Boucles de Seine,,Keolis Argenteuil Boucles de Seine,,bus
,C02629,,N,,Argenteuil - Boucles de Seine,,Keolis Argenteuil Boucles de Seine,,bus
r9195935,C00339,401,401,Bièvre,Bièvre,RATP Cap Bièvre,RD Bièvre,bus,bus
r8371170,C00340,402,402,Bièvre,Bièvre,RATP Cap Bièvre,RD Bièvre,bus,bus
r8404004,C00342,412,412,Bièvre,Bièvre,RATP Cap Bièvre,RD Bièvre,bus,bus
r7829995,C00345,408,408,Bièvre,Bièvre,RATP Cap Bièvre,RD Bièvre,bus,bus
r9181182,C00346,409,409,Bièvre,Bièvre,RATP Cap Bièvre,RD Bièvre,bus,bus
r7842828,C01657,418,418,Bièvre,Bièvre,RATP Cap Bièvre,RD Bièvre,bus,bus
,C01658,,415,,Bièvre,,RD Bièvre,,bus
,C02528,,T10,,Bièvre,,RD Bièvre,,tram
r7921046,C00905,8A,8A,Brie et Deux Morin,Brie et 2 Morin,Transdev Brie et Deux Morin,Transdev Brie et 2 Morin,bus,bus
r9237532,C00906,8B,8B,Brie et Deux Morin,Brie et 2 Morin,Transdev Brie et Deux Morin,Transdev Brie et 2 Morin,bus,bus
,C00907,,8C,,Brie et 2 Morin,,Transdev Brie et 2 Morin,,bus
r8465461,C00910,12,12,Brie et Deux Morin,Brie et 2 Morin,Transdev Brie et Deux Morin,Transdev Brie et 2 Morin,bus,bus
r9939271,C00913,18,18,Brie et Deux Morin,Brie et 2 Morin,Transdev Brie et Deux Morin,Transdev Brie et 2 Morin,bus,bus
r9912272,C00920,31,31,Brie et Deux Morin,Brie et 2 Morin,Transdev Brie et Deux Morin,Transdev Brie et 2 Morin,bus,bus
,C00921,,31S,,Brie et 2 Morin,,Transdev Brie et 2 Morin,,bus
r9905067,C00922,32,32,Brie et Deux Morin,Brie et 2 Morin,Transdev Brie et Deux Morin,Transdev Brie et 2 Morin,bus,bus
r9905093,C00923,33,33,Brie et Deux Morin,Brie et 2 Morin,Transdev Brie et Deux Morin,Transdev Brie et 2 Morin,bus,bus
r9190682,C00924,34,34,Brie et Deux Morin,Brie et 2 Morin,Transdev Brie et Deux Morin,Transdev Brie et 2 Morin,bus,bus
,C00925,,34S1,,Brie et 2 Morin,,Transdev Brie et 2 Morin,,bus
r9912301,C00926,35,35,Brie et Deux Morin,Brie et 2 Morin,Transdev Brie et Deux Morin,Transdev Brie et 2 Morin,bus,bus
r9919053,C00934,49,49,Brie et Deux Morin,Brie et 2 Morin,Transdev Brie et Deux Morin,Transdev Brie et 2 Morin,bus,bus
r9237642,C00941,56,56,Brie et Deux Morin,Brie et 2 Morin,Transdev Brie et Deux Morin,Transdev Brie et 2 Morin,bus,bus
,C00942,,56S,,Brie et 2 Morin,,Transdev Brie et 2 Morin,,bus
r14396879,C00944,59,59,Brie et Deux Morin,Brie et 2 Morin,Transdev Brie et Deux Morin,Transdev Brie et 2 Morin,bus,bus
r7790644,C00947,62,62EX,Brie et Deux Morin,Brie et 2 Morin,Transdev Brie et Deux Morin,Transdev Brie et 2 Morin,bus,bus
r9943735,C00951,70,70,Brie et Deux Morin,Brie et 2 Morin,Transdev Brie et Deux Morin,Transdev Brie et 2 Morin,bus,bus
r7998640,C00952,73,73,Brie et Deux Morin,Brie et 2 Morin,Transdev Brie et Deux Morin,Transdev Brie et 2 Morin,bus,bus
r8493815,C00960,67,67EX,Brie et Deux Morin,Brie et 2 Morin,Transdev Brie et Deux Morin,Transdev Brie et 2 Morin,bus,bus
,C01040,,10,,Brie et 2 Morin,,Transdev Brie et 2 Morin,,bus
,C01046,,25,,Brie et 2 Morin,,Transdev Brie et 2 Morin,,bus
,C01047,,26,,Brie et 2 Morin,,Transdev Brie et 2 Morin,,bus
,C01048,,27,,Brie et 2 Morin,,Transdev Brie et 2 Morin,,bus
,C01049,,29A,,Brie et 2 Morin,,Transdev Brie et 2 Morin,,bus
,C01057,,38,,Brie et 2 Morin,,Transdev Brie et 2 Morin,,bus
r9923401,C01059,40,40,Brie et Deux Morin,Brie et 2 Morin,Transdev Brie et Deux Morin,Transdev Brie et 2 Morin,bus,bus
r6886090,C01060,41A,41A,Brie et Deux Morin,Brie et 2 Morin,Transdev Brie et Deux Morin,Transdev Brie et 2 Morin,bus,bus
r10547176,C01062,01,01EX,Brie et Deux Morin,Brie et 2 Morin,Transdev Brie et Deux Morin,Transdev Brie et 2 Morin,bus,bus
r6957303,C01063,17,17Ex,Brie et Deux Morin,Brie et 2 Morin,Transdev Brie et Deux Morin,Transdev Brie et 2 Morin,bus,bus
,C01715,,13A,,Brie et 2 Morin,,Transdev Brie et 2 Morin,,bus
,C01716,,13B,,Brie et 2 Morin,,Transdev Brie et 2 Morin,,bus
r9923459,C01993,48,48,Brie et Deux Morin,Brie et 2 Morin,Transdev Brie et Deux Morin,Transdev Brie et 2 Morin,bus,bus
r8465785,C02035,A,A,Brie et Deux Morin,Brie et 2 Morin,Transdev Brie et Deux Morin,Transdev Brie et 2 Morin,bus,bus
r8465792,C02036,B,B,Brie et Deux Morin,Brie et 2 Morin,Transdev Brie et Deux Morin,Transdev Brie et 2 Morin,bus,bus
r8465769,C02069,3A,03A,Brie et Deux Morin,Brie et 2 Morin,Transdev Brie et Deux Morin,Transdev Brie et 2 Morin,bus,bus
r8466513,C02070,3B,03B,Brie et Deux Morin,Brie et 2 Morin,Transdev Brie et Deux Morin,Transdev Brie et 2 Morin,bus,bus
,C02071,,03C,,Brie et 2 Morin,,Transdev Brie et 2 Morin,,bus
,C02072,,12A,,Brie et 2 Morin,,Transdev Brie et 2 Morin,,bus
,C02073,,12B,,Brie et 2 Morin,,Transdev Brie et 2 Morin,,bus
,C02074,,12C,,Brie et 2 Morin,,Transdev Brie et 2 Morin,,bus
,C02077,,31A,,Brie et 2 Morin,,Transdev Brie et 2 Morin,,bus
,C02078,,31B,,Brie et 2 Morin,,Transdev Brie et 2 Morin,,bus
,C02079,,31C,,Brie et 2 Morin,,Transdev Brie et 2 Morin,,bus
,C02093,,02A,,Brie et 2 Morin,,Transdev Brie et 2 Morin,,bus
,C02094,,02B,,Brie et 2 Morin,,Transdev Brie et 2 Morin,,bus
,C02095,,02C,,Brie et 2 Morin,,Transdev Brie et 2 Morin,,bus
,C02096,,02D,,Brie et 2 Morin,,Transdev Brie et 2 Morin,,bus
,C02097,,02E,,Brie et 2 Morin,,Transdev Brie et 2 Morin,,bus
,C02098,,02F,,Brie et 2 Morin,,Transdev Brie et 2 Morin,,bus
,C02116,,09A,,Brie et 2 Morin,,Transdev Brie et 2 Morin,,bus
,C02117,,09B,,Brie et 2 Morin,,Transdev Brie et 2 Morin,,bus
,C02118,,09C,,Brie et 2 Morin,,Transdev Brie et 2 Morin,,bus
r9904977,C02154,41B,41B,Brie et Deux Morin,Brie et 2 Morin,Transdev Brie et Deux Morin,Transdev Brie et 2 Morin,bus,bus
,C02160,,32S,,Brie et 2 Morin,,Transdev Brie et 2 Morin,,bus
,C02195,,29B,,Brie et 2 Morin,,Transdev Brie et 2 Morin,,bus
,C02196,,29M,,Brie et 2 Morin,,Transdev Brie et 2 Morin,,bus
r9941798,C02207,71,71,Brie et Deux Morin,Brie et 2 Morin,Transdev Brie et Deux Morin,Transdev Brie et 2 Morin,bus,bus
,C02291,,TàD,,Brie et 2 Morin,,Transdev Brie et 2 Morin,,bus
,C02318,,8ASc,,Brie et 2 Morin,,Transdev Brie et 2 Morin,,bus
,C02365,,P,,Brie et 2 Morin,,Transdev Brie et 2 Morin,,bus
,C02400,,34S2,,Brie et 2 Morin,,Transdev Brie et 2 Morin,,bus
,C02401,,34S3,,Brie et 2 Morin,,Transdev Brie et 2 Morin,,bus
,C00478,,95-26,,Busval d'Oise,,Cars Lacroix,,bus
,C00054,,2,,Centre et Sud Yvelines,,Transdev Sud Yvelines,,bus
,C00057,,9,,Centre et Sud Yvelines,,Transdev Sud Yvelines,,bus
,C00060,,13,,Centre et Sud Yvelines,,Transdev Sud Yvelines,,bus
r9204349,C00062,60,60,Centre et Sud Yvelines,Centre et Sud Yvelines,Transdev Sud Yvelines,Transdev Sud Yvelines,bus,bus
,C00063,,65,,Centre et Sud Yvelines,,Transdev Sud Yvelines,,bus
r9176247,C00064,67,67,Centre et Sud Yvelines,Centre et Sud Yvelines,Transdev Sud Yvelines,Transdev Sud Yvelines,bus,bus
r9238037,C00112,14,14,Centre et Sud Yvelines,Centre et Sud Yvelines,Transdev Sud Yvelines,Transdev Sud Yvelines,bus,bus
r8060916,C00119,41,41,Centre et Sud Yvelines,Centre et Sud Yvelines,Transdev Sud Yvelines,Transdev Sud Yvelines,bus,bus
r8060915,C00124,170,170,Centre et Sud Yvelines,Centre et Sud Yvelines,Transdev Sud Yvelines,Transdev Sud Yvelines,bus,bus
,C00125,,171,,Centre et Sud Yvelines,,Transdev Sud Yvelines,,bus
,C00126,,172,,Centre et Sud Yvelines,,Transdev Sud Yvelines,,bus
,C00137,,511,,Centre et Sud Yvelines,,Transdev Sud Yvelines,,bus
,C00138,,512,,Centre et Sud Yvelines,,Transdev Sud Yvelines,,bus
,C00163,,1,,Centre et Sud Yvelines,,Transdev Sud Yvelines,,bus
r8130193,C00164,03,3,Centre et Sud Yvelines,Centre et Sud Yvelines,Transdev Sud Yvelines,Transdev Sud Yvelines,bus,bus
r7920958,C00165,04,4,Centre et Sud Yvelines,Centre et Sud Yvelines,Transdev Sud Yvelines,Transdev Sud Yvelines,bus,bus
r7920963,C00166,05,5,Centre et Sud Yvelines,Centre et Sud Yvelines,Transdev Sud Yvelines,Transdev Sud Yvelines,bus,bus
,C00168,,8,,Centre et Sud Yvelines,,Transdev Sud Yvelines,,bus
r9181020,C00170,10,10,Centre et Sud Yvelines,Centre et Sud Yvelines,Transdev Sud Yvelines,Transdev Sud Yvelines,bus,bus
r14009234,C00171,11,11,Centre et Sud Yvelines,Centre et Sud Yvelines,Transdev Sud Yvelines,Transdev Sud Yvelines,bus,bus
,C00172,,15,,Centre et Sud Yvelines,,Transdev Sud Yvelines,,bus
r7194184,C00173,18,18,Centre et Sud Yvelines,Centre et Sud Yvelines,Transdev Sud Yvelines,Transdev Sud Yvelines,bus,bus
,C00174,,19,,Centre et Sud Yvelines,,Transdev Sud Yvelines,,bus
,C00175,,20,,Centre et Sud Yvelines,,Transdev Sud Yvelines,,bus
,C00177,,24,,Centre et Sud Yvelines,,Transdev Sud Yvelines,,bus
,C00178,,25,,Centre et Sud Yvelines,,Transdev Sud Yvelines,,bus
,C00179,,26,,Centre et Sud Yvelines,,Transdev Sud Yvelines,,bus
r8130220,C00180,29,29,Centre et Sud Yvelines,Centre et Sud Yvelines,Transdev Sud Yvelines,Transdev Sud Yvelines,bus,bus
r10048302,C00181,30,30,Centre et Sud Yvelines,Centre et Sud Yvelines,Transdev Sud Yvelines,Transdev Sud Yvelines,bus,bus
r7920962,C00182,A,A,Centre et Sud Yvelines,Centre et Sud Yvelines,Transdev Sud Yvelines,Transdev Sud Yvelines,bus,bus
r7920961,C00183,B,B,Centre et Sud Yvelines,Centre et Sud Yvelines,Transdev Sud Yvelines,Transdev Sud Yvelines,bus,bus
r9171822,C00184,E,E,Centre et Sud Yvelines,Centre et Sud Yvelines,Transdev Sud Yvelines,Transdev Sud Yvelines,bus,bus
,C00187,,23,,Centre et Sud Yvelines,,Transdev Sud Yvelines,,bus
,C00188,,89,,Centre et Sud Yvelines,,Transdev Sud Yvelines,,bus
r9187618,C00276,23,23,Centre et Sud Yvelines,Centre et Sud Yvelines,Transdev Sud Yvelines,Transdev Sud Yvelines,bus,bus
r8054733,C00279,27,27,Centre et Sud Yvelines,Centre et Sud Yvelines,Transdev Sud Yvelines,Transdev Sud Yvelines,bus,bus
r7234686,C00401,5,05,Centre et Sud Yvelines,Centre et Sud Yvelines,Transdev Sud Yvelines,Transdev Sud Yvelines,bus,bus
r8737996,C00402,7,7,Centre et Sud Yvelines,Centre et Sud Yvelines,Transdev Sud Yvelines,Transdev Sud Yvelines,bus,bus
r7921039,C00409,12,12,Centre et Sud Yvelines,Centre et Sud Yvelines,Transdev Sud Yvelines,Transdev Sud Yvelines,bus,bus
,C00410,,14,,Centre et Sud Yvelines,,Transdev Sud Yvelines,,bus
,C00414,,Q,,Centre et Sud Yvelines,,Transdev Sud Yvelines,,bus
,C00415,,19,,Centre et Sud Yvelines,,Transdev Sud Yvelines,,bus
r14084660,C00421,B,B,Centre et Sud Yvelines,Centre et Sud Yvelines,Transdev Sud Yvelines,Transdev Sud Yvelines,bus,bus
,C00422,,V,,Centre et Sud Yvelines,,Transdev Sud Yvelines,,bus
,C00423,,P,,Centre et Sud Yvelines,,Transdev Sud Yvelines,,bus
,C00424,,M,,Centre et Sud Yvelines,,Transdev Sud Yvelines,,bus
r8447240,C00482,36-15,3615,Centre et Sud Yvelines,Centre et Sud Yvelines,Transdev Sud Yvelines,Transdev Sud Yvelines,bus,bus
,C00488,,3902,,Centre et Sud Yvelines,,Transdev Sud Yvelines,,bus
,C00489,,3903,,Centre et Sud Yvelines,,Transdev Sud Yvelines,,bus
,C00494,,3907A,,Centre et Sud Yvelines,,Transdev Sud Yvelines,,bus
r4030054,C00496,39-10,3910,SAVAC,Centre et Sud Yvelines,SAVAC,Transdev Sud Yvelines,bus,bus
r9952981,C00498,39-13,3913,Centre et Sud Yvelines,Centre et Sud Yvelines,Transdev Sud Yvelines,Transdev Sud Yvelines,bus,bus
r7921032,C00500,39-17,3917,Centre et Sud Yvelines,Centre et Sud Yvelines,Transdev Sud Yvelines,Transdev Sud Yvelines,bus,bus
r9261401,C00502,39-18,3918,Centre et Sud Yvelines,Centre et Sud Yvelines,Transdev Sud Yvelines,Transdev Sud Yvelines,bus,bus
,C00504,,3927,,Centre et Sud Yvelines,,Transdev Sud Yvelines,,bus
,C00505,,3928A,,Centre et Sud Yvelines,,Transdev Sud Yvelines,,bus
,C00506,,3928B,,Centre et Sud Yvelines,,Transdev Sud Yvelines,,bus
,C00507,,3928C,,Centre et Sud Yvelines,,Transdev Sud Yvelines,,bus
,C00508,,3928D,,Centre et Sud Yvelines,,Transdev Sud Yvelines,,bus
,C00509,,3928E,,Centre et Sud Yvelines,,Transdev Sud Yvelines,,bus
,C00510,,3928F,,Centre et Sud Yvelines,,Transdev Sud Yvelines,,bus
,C00511,,3929 1,,Centre et Sud Yvelines,,Transdev Sud Yvelines,,bus
,C00512,,3929 2,,Centre et Sud Yvelines,,Transdev Sud Yvelines,,bus
,C00513,,3929 3,,Centre et Sud Yvelines,,Transdev Sud Yvelines,,bus
,C00514,,3929 4,,Centre et Sud Yvelines,,Transdev Sud Yvelines,,bus
,C00515,,3930B,,Centre et Sud Yvelines,,Transdev Sud Yvelines,,bus
,C00516,,3930C,,Centre et Sud Yvelines,,Transdev Sud Yvelines,,bus
,C00517,,3930D,,Centre et Sud Yvelines,,Transdev Sud Yvelines,,bus
r9948936,C00518,39-303,39-303,Centre et Sud Yvelines,Centre et Sud Yvelines,Transdev Sud Yvelines,Transdev Sud Yvelines,bus,bus
,C00519,,3931,,Centre et Sud Yvelines,,Transdev Sud Yvelines,,bus
,C00522,,3935A,,Centre et Sud Yvelines,,Transdev Sud Yvelines,,bus
,C00523,,3935B,,Centre et Sud Yvelines,,Transdev Sud Yvelines,,bus
,C00524,,3936,,Centre et Sud Yvelines,,Transdev Sud Yvelines,,bus
r9261361,C00528,39-103,39-103,Centre et Sud Yvelines,Centre et Sud Yvelines,Transdev Sud Yvelines,Transdev Sud Yvelines,bus,bus
r9953049,C00529,39-203,39-203,Centre et Sud Yvelines,Centre et Sud Yvelines,Transdev Sud Yvelines,Transdev Sud Yvelines,bus,bus
,C00531,,3930A,,Centre et Sud Yvelines,,Transdev Sud Yvelines,,bus
r9261410,C00533,39-403,39-403,Centre et Sud Yvelines,Centre et Sud Yvelines,Transdev Sud Yvelines,Transdev Sud Yvelines,bus,bus
r9190795,C01678,C,C,Centre et Sud Yvelines,Centre et Sud Yvelines,Transdev Sud Yvelines,Transdev Sud Yvelines,bus,bus
,C01718,,3907B,,Centre et Sud Yvelines,,Transdev Sud Yvelines,,bus
,C01719,,3907C,,Centre et Sud Yvelines,,Transdev Sud Yvelines,,bus
,C01720,,3907D,,Centre et Sud Yvelines,,Transdev Sud Yvelines,,bus
r7920589,C01721,39-07,3907,Centre et Sud Yvelines,Centre et Sud Yvelines,Transdev Sud Yvelines,Transdev Sud Yvelines,bus,bus
r9228969,C01824,D,D,Centre et Sud Yvelines,Centre et Sud Yvelines,Transdev Sud Yvelines,Transdev Sud Yvelines,bus,bus
r9953003,C01838,39-38,3938,Centre et Sud Yvelines,Centre et Sud Yvelines,Transdev Sud Yvelines,Transdev Sud Yvelines,bus,bus
r6839305,C01874,FA,FA,Centre et Sud Yvelines,Centre et Sud Yvelines,Transdev Sud Yvelines,Transdev Sud Yvelines,bus,bus
r9206600,C01951,12,12,Centre et Sud Yvelines,Centre et Sud Yvelines,Transdev Sud Yvelines,Transdev Sud Yvelines,bus,bus
,C01952,,39,,Centre et Sud Yvelines,,Transdev Sud Yvelines,,bus
,C01953,,49,,Centre et Sud Yvelines,,Transdev Sud Yvelines,,bus
,C01954,,59,,Centre et Sud Yvelines,,Transdev Sud Yvelines,,bus
,C01955,,79,,Centre et Sud Yvelines,,Transdev Sud Yvelines,,bus
,C01957,,16,,Centre et Sud Yvelines,,Transdev Sud Yvelines,,bus
,C01980,,21,,Centre et Sud Yvelines,,Transdev Sud Yvelines,,bus
,C01981,,22,,Centre et Sud Yvelines,,Transdev Sud Yvelines,,bus
,C01982,,31,,Centre et Sud Yvelines,,Transdev Sud Yvelines,,bus
,C01983,,35,,Centre et Sud Yvelines,,Transdev Sud Yvelines,,bus
r8186068,C01984,38,38,Centre et Sud Yvelines,Centre et Sud Yvelines,Transdev Sud Yvelines,Transdev Sud Yvelines,bus,bus
,C01985,,40,,Centre et Sud Yvelines,,Transdev Sud Yvelines,,bus
,C01986,,41,,Centre et Sud Yvelines,,Transdev Sud Yvelines,,bus
,C01987,,45,,Centre et Sud Yvelines,,Transdev Sud Yvelines,,bus
,C01988,,48,,Centre et Sud Yvelines,,Transdev Sud Yvelines,,bus
,C01989,,51,,Centre et Sud Yvelines,,Transdev Sud Yvelines,,bus
,C01990,,55,,Centre et Sud Yvelines,,Transdev Sud Yvelines,,bus
,C01991,,61,,Centre et Sud Yvelines,,Transdev Sud Yvelines,,bus
,C01992,,17,,Centre et Sud Yvelines,,Transdev Sud Yvelines,,bus
,C02313,,01,,Centre et Sud Yvelines,,Transdev Sud Yvelines,,bus
r11696066,C02394,Bel Air,Bel Air,Centre et Sud Yvelines,Centre et Sud Yvelines,Transdev Sud Yvelines,Transdev Sud Yvelines,bus,bus
,C02443,,38,,Centre et Sud Yvelines,,Transdev Sud Yvelines,,bus
,C02444,,28,,Centre et Sud Yvelines,,Transdev Sud Yvelines,,bus
r8054731,C02446,17S,17s,Centre et Sud Yvelines,Centre et Sud Yvelines,Transdev Sud Yvelines,Transdev Sud Yvelines,bus,bus
,C02448,,403,,Centre et Sud Yvelines,,Transdev Sud Yvelines,,bus
,C02481,,02,,Centre et Sud Yvelines,,Transdev Sud Yvelines,,bus
,C02638,,G,,Centre et Sud Yvelines,,Transdev Sud Yvelines,,bus
,C02639,,37,,Centre et Sud Yvelines,,Transdev Sud Yvelines,,bus
,C02640,,Soir,,Centre et Sud Yvelines,,Transdev Sud Yvelines,,bus
,C02641,,Soir,,Centre et Sud Yvelines,,Transdev Sud Yvelines,,bus
,C02642,,67D,,Centre et Sud Yvelines,,Transdev Sud Yvelines,,bus
r7447451,C00762,30,30,Cergy-Pontoise Confluence,Cergy-Pontoise Confluence,Francilité Seine et Oise,Francilité Seine et Oise,bus,bus
r7457086,C00763,34,34,Cergy-Pontoise Confluence,Cergy-Pontoise Confluence,Francilité Seine et Oise,Francilité Seine et Oise,bus,bus
r7451164,C00764,35,35,Cergy-Pontoise Confluence,Cergy-Pontoise Confluence,Francilité Seine et Oise,Francilité Seine et Oise,bus,bus
r7460875,C00765,36,36,Cergy-Pontoise Confluence,Cergy-Pontoise Confluence,Francilité Seine et Oise,Francilité Seine et Oise,bus,bus
r7442593,C00766,38,38,Cergy-Pontoise Confluence,Cergy-Pontoise Confluence,Francilité Seine et Oise,Francilité Seine et Oise,bus,bus
r7441248,C00767,39,39,Cergy-Pontoise Confluence,Cergy-Pontoise Confluence,Francilité Seine et Oise,Francilité Seine et Oise,bus,bus
