ID_Line;ExternalCode_Line;Name_Line;ShortName_Line;TransportMode;TransportSubmode;OperatorRef;OperatorName;NetworkRef;NetworkName;ID_GroupOfLines;ShortName_GroupOfLines;Accessibility
C00933;067067049:49B;49B;49B;bus;localBus;067;MARNE ET MORIN;63;Pays Fertois;A00800;LA FERTE-SOUS-JOUARRE (Gare) - LA FERTE-SOUS-JOUARRE (Gare);0
C01445;208258204:204;204;204;bus;localBus;208;INTERVAL;28;Comète;A01299;VENEUX-LES-SABLONS - MORET-SUR-LOING - VENEUX-LES-SABLONS;0
C01511;228228015:15;15;15;bus;localBus;228;PROCARS;84;Siyonne;A01352;SALINS (LE ROTI) - MONTEREAU-FAUT-YONNE (GARE SNCF);0
C01864;800:TER;TER Picardie (2) Bus;TER Picardie (2) Bus;bus;;800;SNCF;93;TER;A02181;TER Picardie (2);0
C01897;333678001:TamyenYvelines;Tamy en Yvelines;Tamy en Yvelines;bus;demandAndResponseBus;;;;;A01803;Tamy en Yvelines;0
C02025;024024230:230;230;230;bus;localBus;024;KEOLIS SEINE ESSONNE;1045;Trans'Essonne;A02240;Auvernaux - Corbeil Essonnes;0
C01675;116195100:100P;Express 100;100P;bus;expressBus;116;KMR;16;Busval d'Oise;A01755;PERSAN (GARE DE PERSAN) - TREMBLAY-EN-FRANCE (ROISSYPOLE RER);0
C01823;116277009:FILEOSP;Fileo Saint-Pathus (sur réservation);FILEO SP;bus;demandAndResponseBus;116;KMR;35;Filéo;A02167;Fileo Saint-Pathus;0
C01432;116295003:FILEOG;Fileo Goussainville (sur réservation);FILEO G;bus;demandAndResponseBus;116;KMR;35;Filéo;A00245;Filéo goussainville;0
C01392;100987751:N24;N24;N24;bus;nightBus;100;RATP;55;Noctilien;A01243;N24;1
C01403;100987762:N62;N62;N62;bus;nightBus;100;RATP;55;Noctilien;A01254;N62;1
C01394;100987753:N51;N51;N51;bus;nightBus;100;RATP;55;Noctilien;A01245;N51;1
C01395;100987754:N44;N44;N44;bus;nightBus;100;RATP;55;Noctilien;A01246;N44;1
C01396;100987755:N42;N42;N42;bus;nightBus;100;RATP;55;Noctilien;A01247;N42;0
C01389;100112011:T1;T1;T1;tram;;100;RATP;98;TRAMWAY;A01191;T1;1
C00107;011011005:5;5;5;bus;localBus;011;TRANSDEV IDF ECQUEVILLY;211;Val de Seine;A00099;LES MUREAUX (Lycée F. VILLON) - AVERNES - MAGNY-EN-VEXIN (SNCF);0
C00118;011011034:34;34;34;bus;localBus;011;TRANSDEV IDF ECQUEVILLY;211;Val de Seine;A00110;NEZEL (Mairie) - VERNEUIL-SUR-SEINE (Chemin vert (Notre-dame));0
C00114;011011019:19;Express 19;19;bus;expressBus;011;TRANSDEV IDF ECQUEVILLY;211;Val de Seine;A00106;LES MUREAUX - ORGEVAL - VERSAILLES (RG);0
C00110;011011012:12;12;12;bus;localBus;011;TRANSDEV IDF ECQUEVILLY;211;Val de Seine;A00102;LES MUREAUX (Gare) - AUBERGENVILLE ( VAN GOGH);0
C00121;011011043:43;43;43;bus;localBus;011;TRANSDEV IDF ECQUEVILLY;211;Val de Seine;A00113;BOUAFLE - FLINS-SUR-SEINE - AUBERGENVILLE;0
C00073;006006008:8;8;8;bus;localBus;006;LES CARS D'ORSAY;48;Mobicaps;A00068;ORSAY (Bois-Persan) - PALAISEAU (Couturier);0
C00063;005005065:65;65;65;bus;localBus;005;TRANSDEV IDF HOUDAN;915;Houdanais;A00059;HOUDAN (GARE SNCF) - HOUDAN (GARE SNCF);0
C00108;011011009:9;9;9;bus;localBus;011;TRANSDEV IDF ECQUEVILLY;211;Val de Seine;A00100;EPONE;0
C00139;011195022:95-22;95-22;95-22;bus;;011;TRANSDEV IDF ECQUEVILLY;16;Busval d'Oise;A00131;AVERNES - CERGY;0
C00923;067067033:33;33;33;bus;localBus;067;MARNE ET MORIN;63;Pays Fertois;A00791;HONDEVILLIERS (arrêt CENTRE) - LA FERTE-SOUS-JOUARRE (Gare SNCF);0
C00971;068068100:68100;68.100;68.100;bus;;068;ORMONT TRANSPORT;57;ORMONT TRANSPORT;A00836;BREUILLET (GUISSERAY) - OLLAINVILLE (COLLEGE DE LA FONTAINE AUX BERGERS);0
C00527;039039373:39-37AB;39-37 AB Buc (MLK/LFA) - Châtenay-Malabry - Sceaux;39-37 AB;bus;;039;SAVAC;74;SAVAC;A00446;BUC - CHATENAY-MALABRY;0
C00974;068306012:30612;306.12;306.12;bus;;068;ORMONT TRANSPORT;57;ORMONT TRANSPORT;A00839;MONNERVILLE (Poste) - DOURDAN (Champ de course);0
C00981;068913017:91317;913.17;913.17;bus;;068;ORMONT TRANSPORT;57;ORMONT TRANSPORT;A00846;MAUCHAMPS (Eglise) - ETAMPES (Gare RER);0
C00973;068306004:30604;306.04;306.04;bus;;068;ORMONT TRANSPORT;57;ORMONT TRANSPORT;A00838;MEROBERT (AUBRAY) - DOURDAN (GARE);0
C02137;101261024:4;4;4;bus;;101;STBC;6;Apolo 7;A01276;CHELLES (Gare Routière) - CLAYE-SOUILLY (mairie);0
C02111;040240004:41;41;41;bus;;040;SETRA;82;SITUS;A00468;SUCY-EN-BRIE (R.E.R.) - SUCY-EN-BRIE (Lycée de Sucy);0
C02114;040240004:44;44;44;bus;;040;SETRA;82;SITUS;A00468;SUCY-EN-BRIE (R.E.R.) - SUCY-EN-BRIE (Lycée de Sucy);0
C01035;092092004:4;4;4;bus;;092;TVS;111;TVS;A00888;BLARU (EGLISE GARE) - BONNIERES-SUR-SEINE (SNCF);0
C02031;064608012:12;12;12;bus;localBus;064;TRANSDEV IDF NEMOURS;89;STILL;A00709;BOUGLIGNY (THIERSANVILLE) - AVON (JACQUES DURAND CES LA VALLEE);0
C01961;064608008:8B;8B;8B;bus;localBus;064;TRANSDEV IDF NEMOURS;89;STILL;A00705;CHAMPAGNE-SUR-SEINE (PLACE SCHNEIDER) - NEMOURS (CITE SCOLAIRE);0
C01964;064608009:9D;9D;9D;bus;localBus;064;TRANSDEV IDF NEMOURS;89;STILL;A00706;VOULX (VAUCORNEILLE) - NEMOURS (CITE SCOLAIRE);0
C01989;005005051:51;51;51;bus;localBus;005;TRANSDEV IDF HOUDAN;915;Houdanais;A02197;BEYNES - SAULX-MARCHAIS;0
C01976;010010001:321;321;321;bus;localBus;010;CEAT;24;CEAT;A00075;LARDY (Gare SNCF) - ETRECHY - ETAMPES (Gare SNCF);0
C01916;002691004:AggloBusLigne2;Agglo'Bus Ligne 2;Agglo'Bus Ligne 2;bus;demandAndResponseBus;002;KEOLIS SEINE-VAL-DE-MARNE;;;A01809;Agglo'Bus;0
C01827;111593302:2;2;2;bus;localBus;111;MOBICITE;593;Titus;A01778;Titus 2 (jaune);0
C00549;040040013:BrieBus;Briebus Brie Comte Robert;BrieBus;bus;localBus;040;SETRA;;;A00462;BRIE-COMTE-ROBERT (Service Urbain);0
C01737;800:H;H;H;rail;;800;SNCF;;;A01849;Gare du Nord - Pontoise / Luzarches / Beauvais / Creil;0
C00459;030030032:30-32;30-32 Scolaire;30-32;bus;localBus;030;CARS LACROIX;43;LACROIX;A00401;HERBLAY (Lycée/Collège) - CORMEILLES-EN-PARISIS (Chemin Vert/Emy les Prés);0
C00319;018018010:201;201;201;bus;localBus;018;TRANSDEV IDF BRETIGNY;104;Transdev Ile-de-France Brétigny;A00297;BALLANCOURT-SUR-ESSONNE (Gare) - MAROLLES-EN-HUREPOIX (Gare);0
C00461;030030034:30-34;30-34 Scolaire;30-34;bus;localBus;030;CARS LACROIX;43;LACROIX;A00403;CORMEILLES-EN-PARISIS (2 ème Collège) - LA FRETTE-SUR-SEINE;0
C00322;018018012:203;203;203;bus;localBus;018;TRANSDEV IDF BRETIGNY;104;Transdev Ile-de-France Brétigny;A00299;BALLANCOURT-SUR-ESSONNE - BALLANCOURT-SUR-ESSONNE;0
C00363;021021210:LP1;LP1;LP1;bus;localBus;021;KEOLIS SEINE SENART;77;Seine Sénart Bus;A00331;VIGNEUX-SUR-SEINE - MONTGERON - DRAVEIL - VIGNEUX-SUR-SEINE;0
C00362;021021209:H;H;H;bus;regionalBus;021;KEOLIS SEINE SENART;77;Seine Sénart Bus;A00331;VIGNEUX-SUR-SEINE - MONTGERON - DRAVEIL - VIGNEUX-SUR-SEINE;0
C00575;045045004:J2;J2;J2;bus;regionalBus;045;STRAV;91;STRAV;A00484;VILLENEUVE-ST-GEORGES (RER D) - BOISSY-ST-LEGER - VILLENEUVE-ST-GEORGES (GARE RERD);1
C00485;038038002:3802;3802;3802;bus;localBus;038;CARS ROSE;404;VALBUS;A00421;ATTAINVILLE (MAIRIE) - MONTMORENCY (HOTEL DE VILLE / LYCEE);0
C00512;039039292:39-29-2;39-29-2 Limours - Forges-les-Bains - Pecqueuse - Collège M. Vignaud;39-29-2;bus;;039;SAVAC;74;SAVAC;A00439;LIMOURS (collège M. VIGNAUD) - LIMOURS (Collège M.VIGNAUD);0
C00521;039039034:39-34;39-34 Boulogne-Billancourt - Guyancourt;39-34;bus;;039;SAVAC;74;SAVAC;A00443;BOULOGNE-BILLANCOURT (PONT DE BILLANCOURT) - GUYANCOURT (TROU BERGER);0
C00532;039039307:307;Express 307 Vélizy - Montigny-le-Bretonneux;307;bus;expressBus;039;SAVAC;74;SAVAC;A00450;VELIZY-VILLACOUBLAY (CENTRE COMMERCIAL DE VELIZY 2) - MONTIGNY-LE-BRETONNEUX (ST QUENTIN GARE);0
C00655;057314100:100;Express 100 Les Mureaux St Quentin;100;bus;expressBus;314;STILE;34;Express A14;A01517;Pôle à Pôle : LES MUREAUX (GARE) - MONTIGNY-LE-BRETONNEUX (GARE DE ST QUENTIN EN YVELINES);0
C00832;064608020:1;1;1;bus;localBus;064;TRANSDEV IDF NEMOURS;89;STILL;A00716;BAGNEAUX-SUR-LOING (FROMONCEAU) - ST-PIERRE-LES-NEMOURS (SAINT PIERRE CHAINTREAUVILLE);0
C00813;062062043:43;43;43;bus;localBus;062;TRANSDEV IDF VULAINES;103;TRANSDEV IDF VULAINES;A00693;VAUX-LE-PENIL (FOCH/NIEPCE) - FONTAINEBLEAU (PLACE DE L'ETAPE);0
C00784;059440059:59;59;59;bus;localBus;059;STIVO;90;STIVO;A00673;CERGY (PREFECTURE RER A) - ST-OUEN-L'AUMONE (FOND DE VAUX);0
C00772;059440045:45;45;45;bus;regionalBus;059;STIVO;90;STIVO;A00665;PONTOISE (Canrobert) - CERGY (Lycée Jules Verne);1
C00576;045045005:H;H;H;bus;localBus;045;STRAV;121;VyBus;A00485;CROSNE (S,ALLENDE) - VILLENEUVE-ST-GEORGES (GARE RER);0
C00770;059440043:43;43;43;bus;localBus;059;STIVO;90;STIVO;A00663;OSNY (RUE DE PONTOISE) - PONTOISE (PLACE GENERAL DE GAULLE);0
C00552;040240001:1;1;1;bus;localBus;040;SETRA;82;SITUS;A00465;SUCY-EN-BRIE (R.E.R.) - SUCY-EN-BRIE (PATTE D'OIE);0
C00560;040240102:102;102;102;bus;localBus;040;SETRA;82;SITUS;A00473;102;0
C00033;003351506:B;B;B;bus;regionalBus;003;N4 MOBILITES;81;Sit'bus;A00031;LA QUEUE-EN-BRIE (LES ALOUETTES) - PONTAULT-COMBAULT (RER RUE DE L'EST);0
C00054;005005002:2;2;2;bus;localBus;005;TRANSDEV IDF HOUDAN;915;Houdanais;A00050;MONTFORT-L'AMAURY (COLLEGE RAVEL) - DAMMARTIN-EN-SERVE (MAIRIE);0
C00090;010010007:107;107;107;bus;regionalBus;010;CEAT;24;CEAT;A00080;STE-GENEVIEVE-DES-BOIS (ZI Croix Blanche) - PARIS-14 (Porte d'Orléans);0
C00101;010010023:224;224;224;bus;localBus;010;CEAT;24;CEAT;A00091;Ballancourt sur Essonne (Gare SNCF) - Corbeil Essonne (Place du 8 mai/Lycée);0
C00279;015015027:27;27;27;bus;localBus;015;CSO;31;CSO;A00262;ST-GERMAIN-EN-LAYE (Lycée International) - BAILLY - THIVERVAL-GRIGNON (Grignon);0
C00084;010240003:7;7;7;bus;regionalBus;010;CEAT;82;SITUS;A00077;Champigny sur Marne (Gare RER Champigny) - Pontault Combault (Gare RER Pontault Combault);0
C00092;010010010:205;205;205;bus;localBus;010;CEAT;24;CEAT;A00082;Lardy (Gare de Bouray) - Itteville (La Croix Boissée);0
C00277;015015024:24;24;24;bus;regionalBus;015;CSO;31;CSO;A00260;POISSY (Gare Sud) - ST-GERMAIN-EN-LAYE (RER);0
C00282;015015051:51;51;51;bus;localBus;015;CSO;31;CSO;A00265;POISSY (HOPITAL) - POISSY (LA FORET);0
C00285;015015054:54;54;54;bus;localBus;015;CSO;;;A00268;POISSY (GARE) - POISSY (TECHNOPARC);0
C01068;098098004:DIRECT4;LE BUS DIRECT 4;DIRECT 4;bus;airportLinkBus;098;LE BUS DIRECT;178;LE BUS DIRECT;A00922;ROISSY-EN-FRANCE (CDG1) - PARIS-14 (MERIDIEN MONTPARNASSE);1
C01045;097097024:24;24;24;bus;localBus;097;DARCHE GROS;122;Yerres;A00898;ROZAY-EN-BRIE (Lycée La Tour des Dames) - MELUN (Rue de l'industrie Gare SNCF);0
C01060;097097041:41A;41A - FERTE-SOUS-JOUARRE COULOMMIERS;41A;bus;localBus;097;DARCHE GROS;63;Pays Fertois;A00913;LA FERTE-SOUS-JOUARRE (gare SNCF) - COULOMMIERS (GARE SNCF);0
C00957;067167006:G;G;G;bus;regionalBus;067;MARNE ET MORIN;62;Pays de Meaux;A00821;MEAUX (Meaux Gare Routière) - MEAUX (Musée de la Grande Guerre);0
C00949;067067064:K;K;K;bus;regionalBus;067;MARNE ET MORIN;62;Pays de Meaux;A00812;MAREUIL-LES-MEAUX (Avenue de la Brie) - MEAUX (Gare routière);0
C01043;097097014:14;14;14;bus;localBus;097;DARCHE GROS;122;Yerres;A00896;NANGIS (COLLEGE BARTHELEMY) - MORMANT - LIEUSAINT (GARE);0
C00958;067167008:D;D;D;bus;regionalBus;067;MARNE ET MORIN;62;Pays de Meaux;A00823;MEAUX (Gare routière) - MEAUX (Gare routière);1
C01044;097097020:20;20;20;bus;localBus;097;DARCHE GROS;122;Yerres;A00897;VERNEUIL-L'ETANG (GARE) - MORMANT (J JAURES);0
C00954;067167002:A;A;A;bus;regionalBus;067;MARNE ET MORIN;62;Pays de Meaux;A00817;MEAUX (Service Urbain) - MEAUX;0
C01053;097097033:33;33;33;bus;localBus;097;DARCHE GROS;85;Sol'R;A00906;VAUDOY-EN-BRIE - MARLES-EN-BRIE;0
C01552;251195004:95-04;95-04;95-04;bus;expressBus;251;TIM BUS;16;Busval d'Oise;A01397;BRAY-ET-LU (GARE) - MAGNY-EN-VEXIN - PONTOISE (HOPITAL);0
C01703;010010005:S1;S1;S1;bus;localBus;010;CEAT;37;Génovébus;A00079;STE-GENEVIEVE-DES-BOIS (GARE RER) - STE-GENEVIEVE-DES-BOIS (L SAMPAIX);0
C01706;010010005:S4;S4;S4;bus;localBus;010;CEAT;37;Génovébus;A00079;STE-GENEVIEVE-DES-BOIS (GARE RER) - STE-GENEVIEVE-DES-BOIS (L SAMPAIX);0
C01514;228228051:NANGIBUSR;NANGIBUS ROUGE;NANGIBUSR;bus;regionalBus;228;PROCARS;67;PROCARS;A01355;NANGIS (GARE SNCF) - NANGIS (GARE SNCF);0
C01685;212212024:A1;A1;A1;bus;regionalBus;212;TRANSDEV IDF CONFLANS;29;Conflans Achères;A01321;ACHERES (GARE) - ACHERES (GARE);0
C01569;291191008:91-08;EXPRESS 91-08;91-08;bus;expressBus;291;ALBATRANS;5;Albatrans;A01415;LES ULIS - VELIZY-VILLACOUBLAY;0
C01764;010010009:221;221;221;bus;localBus;010;CEAT;24;CEAT;A00081;BALLANCOURT-SUR-ESSONNE (GARE SNCF) - ITTEVILLE (EGLISE);0
C01517;228771009:PROBUSB;PROBUS B;PROBUS B;bus;regionalBus;228;PROCARS;67;PROCARS;A01361;PROVINS (GARE SNCF) - PROVINS (GARE SNCF);0
C01820;250177002:002;Meaux - Melun;002;bus;expressBus;250;VIAMO-MELUN;177;ViaMo-Melun;A02165;Meaux - Melun;1
C01773;015078055:55;55;55;bus;localBus;015;CSO;31;CSO;A01831;Navette Bethemont;0
C01473;212212002:02;02;02;bus;localBus;212;TRANSDEV IDF CONFLANS;83;SIVOM---Maisons-Laffitte et Le Mesnil Le Roi;A01313;MAISONS-LAFFITTE (Gare) - ST-GERMAIN-EN-LAYE (RER);0
C01479;212212014:14;14;14;bus;localBus;212;TRANSDEV IDF CONFLANS;29;Conflans Achères;A01319;CONFLANS-STE-HONORINE (GARE DE FIN-D'OISE) - NEUVILLE-SUR-OISE (GARE RER);0
C01477;212212011:11;11;11;bus;regionalBus;212;TRANSDEV IDF CONFLANS;29;Conflans Achères;A01317;CONFLANS-STE-HONORINE (GARE ROMAGNE) - HERBLAY (BUTTES BLANCHES);0
C01471;210210217:BRAY11;BRAY 11;BRAY 11;bus;localBus;210;CARS MOREAU;18;CARS MOREAU;A01307;FONTAINE-FOURCHES (CALVAIRE) - MONTEREAU-FAUT-YONNE (GARE SNCF);0
C01438;208208007:Ea;Ea;Ea;bus;localBus;208;INTERVAL;84;Siyonne;A01292;LA BROSSE-MONTCEAUX (Hameau de Chevinois) - MONTEREAU-FAUT-YONNE (Gare SNCF);0
C01462;210210202:202;202;202;bus;localBus;210;CARS MOREAU;18;CARS MOREAU;A01307;FONTAINE-FOURCHES (CALVAIRE) - MONTEREAU-FAUT-YONNE (GARE SNCF);0
C01510;228228014:14;14;14;bus;regionalBus;228;PROCARS;67;PROCARS;A01351;VILLIERS-ST-GEORGES (MAIRIE) - TOURNAN-EN-BRIE (RER);0
C01501;228228001:01;01;01;bus;localBus;228;PROCARS;67;PROCARS;A01342;PROVINS (GARE ROUTIERE) - ESTERNAY (PLACE DE L'EGLISE);0
C01453;210210102:4B;4 B;4 B;bus;localBus;210;CARS MOREAU;18;CARS MOREAU;A01306;BRAY-SUR-SEINE - PROVINS;0
C01451;208608019:19;19;19;bus;localBus;208;INTERVAL;89;STILL;A01305;EGREVILLE - MONTEREAU-FAUT-YONNE;0
C02109;097097037:37C;37C - OZOUER LE VOULGIS CHAMPDEUIL MELUN;37C;bus;localBus;097;DARCHE GROS;122;Yerres;A00909;MELUN (place de l'ermitage/gare sncf) - OZOUER-LE-VOULGIS (les Etards);0
C02108;097097037:37B;37B - OZOUER LE VOULGIS CHAMPDEUIL MELUN;37B;bus;localBus;097;DARCHE GROS;122;Yerres;A00909;MELUN (place de l'ermitage/gare sncf) - OZOUER-LE-VOULGIS (les Etards);0
C02156;063063009:09;09;09;bus;localBus;063;TRANSDEV IDF ST FARGEAU PONTHIERRY;123;Réseau du Canton de Perthes;A00689;ARBONNE-LA-FORET (CORNEBICHE) - MELUN (GARE);0
C01125;100100094:94;94;94;bus;;100;RATP;68;RATP;A00979;94;1
C01118;100100086:86;86;86;bus;;100;RATP;68;RATP;A00972;86;1
C01122;100100091:91;91;91;bus;;100;RATP;68;RATP;A00976;91;1
C01925;100592541:Buséolien;Buséolien;Buséolien;bus;;100;RATP;;;A01825;Buséolien;0
C02026;024024231:231;231;231;bus;localBus;024;KEOLIS SEINE ESSONNE;1045;Trans'Essonne;A02241;Auvernaux - Evry;0
C00051;004004029:45;45;45;bus;;004;KEOLIS VELIZY;65;Phébus;A00047;Sevres (Musée de Sèvres-T2) - Velizy Villacoublay (Mairie de Vélizy);1
C00563;043043100:CDGVAL;CDG VAL;CDG VAL;rail;;043;ADP;54;Navette;A01516;CDG VAL;1
C02020;024024207:207;207;207;bus;regionalBus;024;KEOLIS SEINE ESSONNE;1045;Trans'Essonne;A02238;Le Coudray Montceaux - Fontenay le Vicomte;0
C00223;014014093:93;93;93;bus;expressBus;014;CIF;25;CIF;A00200;BOBIGNY (pablo picasso) - TREMBLAY-EN-FRANCE (Roissypôle RER);0
C01752;055055017:DM17S;DM17 S;DM17 S;bus;;055;TRANSPORTS DANIEL MEYER;108;TRANSPORTS DANIEL MEYER;A00584;EPINAY-SUR-ORGE (gare RER) - LA VILLE-DU-BOIS - NOZAY (CIT VILLARCEAUX);0
C00191;014014011:11;11;11;bus;regionalBus;014;CIF;25;CIF;A00176;GOUSSAINVILLE (Victor Bach) - ST-DENIS (Marche);0
C00676;055055012:DM12;DM12;DM12;bus;;055;TRANSPORTS DANIEL MEYER;108;TRANSPORTS DANIEL MEYER;A00580;MASSY - PALAISEAU - SAULX-LES-CHARTREUX;0
C01815;014014321:32ZA;32ZA;32ZA;bus;;014;CIF;25;CIF;A00186;GOUSSAINVILLE (Victor Basch) - TREMBLAY-EN-FRANCE (Roissypôle RER);0
C00231;014014904:R4;R4;R4;bus;;014;CIF;25;CIF;A00214;TREMBLAY-EN-FRANCE (Roissypôle RER) - LOUVRES (RER);0
C01821;100100486:486;486;486;bus;;100;RATP;68;RATP;A02166;Porte de l'Essonne - Juvisy RER;1
C02080;100100559:559B;LIGNE BLEUE;559B;bus;;100;RATP;68;RATP;A01229;559 - Ligne bleue;0
C00234;014014907:R7;R7;R7;bus;;014;CIF;25;CIF;A00217;LOUVRES (RER) - LOUVRES (RER);0
C00723;056356212:ILFA;ILFA;ILFA;bus;;056;KEOLIS VERSAILLES;65;Phébus;A00606;BUC (Lycée Franco-Allemand) - VERSAILLES - VAUCRESSON - GARCHES (Gare S.N.C.F.);1
C01805;004004014:34;34;34;bus;;004;KEOLIS VELIZY;65;Phébus;A00042;Chaville (Gare Chaville Rive Droite) - Vélizy Villacoublay (Vélizy 2);1
C01687;004004007:31;31;31;bus;;004;KEOLIS VELIZY;65;Phébus;A00038;Viroflay (Chaville Velizy RER C) - Velizy Villacoublay (Velizy 2);1
C01615;400300510:510;510;510;bus;;055;TRANSPORTS DANIEL MEYER;1;510;A00596;FLEURY-MEROGIS (HOPITAL MANHES) - GRIGNY (TUILERIES);0
C01616;400400401:401;401;401;bus;;400;TICE;94;TICE;A01466;CORBEIL-ESSONNES (Gare RER) - ST-MICHEL-SUR-ORGE (Rue Berlioz);1
C01816;014014114:R114;R114;R114;bus;;014;CIF;25;CIF;A00204;SENLIS (COLLEGE ANNE MARIE JAVOUHEY) - ST-WITZ (TREIZE SAULES);0
C01619;400400404:404;404;404;bus;;400;TICE;94;TICE;A01469;RIS-ORANGIS (BOIS DE L'EPINE RER) - EVRY (BRAS DE FER RER);1
C01628;400400415:415;415;415;bus;;400;TICE;94;TICE;A01478;EVRY (Evry-Courcouronnes Centre) - VILLABE (GARE SNCF);1
C01662;046146072:F;F;F;bus;;046;KVO;14;Bus Haut Val d'Oise;A01726;PERSAN (GARE SNCF) - PERSAN (CENTRE AFPA);0
C01672;400400416:416;416;416;bus;;400;TICE;94;TICE;A01751;416;1
C00722;056356027:ARC;ARC;ARC;bus;;056;KEOLIS VERSAILLES;65;Phébus;A00620;VERSAILLES (Gare des Chantiers) - VERSAILLES (Gare Rive Gauche);1
C00975;068913001:1;1 - Guinette;1;bus;;068;ORMONT TRANSPORT;57;ORMONT TRANSPORT;A00840;ETAMPES (Gare RER) - ETAMPES (Gare RER);0
C00205;014014030:30B;30B;30B;bus;;014;CIF;25;CIF;A00184;GOUSSAINVILLE (Mairie) - GOUSSAINVILLE - MAREIL-EN-FRANCE (Regnault);0
C01368;100100594:PETIT-F;LE PETIT FONTENAISIEN;PETIT-F;bus;;100;RATP;68;RATP;A01235;594 (Le Petit Fontenaisien);0
C01362;100100584:V5;V5;V5;bus;;100;RATP;68;RATP;A01238;584 (Valouette V5);1
C01246;100100255:255;255;255;bus;;100;RATP;68;RATP;A01105;255;1
C01247;100100256:256;256;256;bus;;100;RATP;68;RATP;A01106;256;1
C01280;100100317:317;317;317;bus;;100;RATP;68;RATP;A01139;317;1
C01250;100100262:262;262;262;bus;;100;RATP;68;RATP;A01109;262;1
C01281;100100318:318;318;318;bus;;100;RATP;68;RATP;A01140;;1
C00458;030030031:30-31;30-31 Scolaire;30-31;bus;localBus;030;CARS LACROIX;43;LACROIX;A00400;HERBLAY (Lycée) - MONTIGNY-LES-CORMEILLES (AVENUE DE LA LIBERATION);0
C00456;030030029:30-29;30-29 Scolaire;30-29;bus;localBus;030;CARS LACROIX;43;LACROIX;A00398;ST-OUEN-L'AUMONE (Lycée E.Rostand) - MERIEL (Collège);0
C00539;230410452:452;452;452;bus;localBus;230;SQYBUS;86;SQYBUS;A00457;GUYANCOURT - GUYANCOURT (Etablissements scolaires);0
C00541;230410454:454;454;454;bus;localBus;230;SQYBUS;86;SQYBUS;A00457;GUYANCOURT - GUYANCOURT (Etablissements scolaires);0
C00543;230410456:456;456;456;bus;localBus;230;SQYBUS;86;SQYBUS;A00457;GUYANCOURT - GUYANCOURT (Etablissements scolaires);0
C00679;055055016:DM16;DM16;DM16;bus;;055;TRANSPORTS DANIEL MEYER;108;TRANSPORTS DANIEL MEYER;A00583;ST-MICHEL-SUR-ORGE (RER) - ST-MICHEL-SUR-ORGE (LES GLAISES);0
C00691;055155003:DM153;DM153;DM153;bus;;055;TRANSPORTS DANIEL MEYER;108;TRANSPORTS DANIEL MEYER;A00595;MASSY (GARE RER) - ARPAJON (PORTE D'ETAMPES);0
C01266;100100291:291;291;291;bus;expressBus;100;RATP;68;RATP;A01126;291;1
C01298;100100350:350;350;350;bus;expressBus;100;RATP;68;RATP;A01155;350;1
C01275;100100304:304;304;304;bus;;100;RATP;68;RATP;A01135;304;1
C01312;100100379:379;379;379;bus;;100;RATP;68;RATP;A01171;379;1
C01255;100100274:274;274;274;bus;;100;RATP;68;RATP;A01115;274;1
C01263;100100286:286;286;286;bus;;100;RATP;68;RATP;A01123;286;1
C01272;100100301:301;301;301;bus;;100;RATP;68;RATP;A01132;301;1
C01303;100100356:356;356;356;bus;;100;RATP;68;RATP;A01160;356;0
C01304;100100360:360;360;360;bus;;100;RATP;68;RATP;A01162;360;1
C01262;100100285:285;285;285;bus;;100;RATP;68;RATP;A01122;285;0
C01144;100100115:115;115;115;bus;;100;RATP;68;RATP;A00999;115;1
C01163;100100137:137;137;137;bus;;100;RATP;68;RATP;A01018;137;1
C01166;100100140:140;140;140;bus;;100;RATP;68;RATP;A01021;140;1
C01146;100100117:117;117;117;bus;;100;RATP;68;RATP;A01001;117;1
C01151;100100122:122;122;122;bus;;100;RATP;68;RATP;A01006;122;1
C01150;100100121:121;121;121;bus;;100;RATP;68;RATP;A01005;121;1
C01082;100100032:32;32;32;bus;;100;RATP;68;RATP;A00936;32;1
C01077;100100027:27;27;27;bus;;100;RATP;68;RATP;A00931;27;1
C01080;100100030:30;30;30;bus;;100;RATP;68;RATP;A00934;30;1
C01078;100100028:28;28;28;bus;;100;RATP;68;RATP;A00932;28;1
C01176;100100152:152;152;152;bus;;100;RATP;68;RATP;A01032;152;1
C01189;100100167:167;167;167;bus;;100;RATP;68;RATP;A01046;167;1
C01236;100100237:237;237;237;bus;;100;RATP;68;RATP;A01093;237;1
C01254;100100272:272;272;272;bus;;100;RATP;68;RATP;A01114;272;1
C01171;100100146:146;146;146;bus;;100;RATP;68;RATP;A01026;146;1
C01173;100100148:148;148;148;bus;;100;RATP;68;RATP;A01028;148;1
C01174;100100150:150;150;150;bus;;100;RATP;68;RATP;A01030;150;1
C01200;100100179:179;179;179;bus;;100;RATP;68;RATP;A01058;179;1
C01222;100100207:207;207;207;bus;;100;RATP;68;RATP;A01080;207;1
C01225;100100211:211;211;211;bus;;100;RATP;68;RATP;A01083;211;1
