,gtfs_stop_id,gtfs_route_id,gtfs_ZDEr_ID_REF_A,gtfs_dest_name,gtfs_stop_name,osm_stop_id,osm_osm:ref:FR:STIF:ExternalCode_Line,osm_osm:ref:FR:STIF,osm_destination,osm_name,distance
26886,StopPoint:59:7312094,100100323:323,37921,GAMBETTA,LYCEE DARIUS MILHAUD - CHARLES GIDE,StopPoint:Node:1939566294,100100323:323,37921,Gambetta,Lycée Darius Milhaud-Charles Gide,90.17433097921644
26971,StopPoint:59:5709901,100100325:325,37316,BIBLIOTHEQUE FRANCOIS MITTERRAND,CHINAGORA,StopPoint:Node:5979593717,100100325:325,37316,Bibliothèque François Mitterrand,Chinagora,75.52973601836355
26978,StopPoint:59:7647760,100100325:325,23402,CHATEAU DE VINCENNES,JULES VANZUPPE,StopPoint:Node:1504219663,100100325:325,23402,Château de Vincennes,Jules Vanzuppe,183.50464182702598
27047,StopPoint:59:3672240,100100351:351,28370,ROISSYPOLE,ERIGNAC,StopPoint:Node:2415367932,100100351:351,28370,Roissypole,Érignac,89.46996669362727
27132,StopPoint:59:4458785,100100380:380,8047,VILLEJUIF - LOUIS ARAGON,BELVEDERE,StopPoint:Node:3647142080,100100380:380,8047,Villejuif - Louis Aragon,Belvédère,86.68121817678636
27186,StopPoint:59:5121792,100100388:388,8164,PORTE D'ORLEANS,LES BAS COQUARTS,StopPoint:Node:3585571596,100100388:388,8164,Porte d'Orléans,Les Bas Coquarts,91.96026224910013
27211,StopPoint:59:7627532,100100388:388,28241,PORTE D'ORLEANS,REPUBLIQUE - LIBERTE,StopPoint:Node:2899578901,100100388:388,28241,Porte d'Orléans,République - Liberté,103.00361859394334
27225,StopPoint:59:7627567,100100388:388,27303,BOURG-LA-REINE RER,FRERES LUMIERE,StopPoint:Node:3585571593,100100388:388,27303,Bourg-la-Reine RER,Frères Lumière,72.54763093286059
27233,StopPoint:59:7069347,100100389:389,427201,GEORGES POMPIDOU,YVES KERMEN,StopPoint:Node:5340349245,100100389:389,427201,Clamart - Georges Pompidou,Yves Kermen,76.87449956877799
27239,StopPoint:59:7069357,100100389:389,12835,GEORGES POMPIDOU,PONT DE BILLANCOURT,StopPoint:Node:3560631754,100100389:389,12835,Clamart - Georges Pompidou,Place Jules Guesde,487.361398555051
27300,StopPoint:59:6682626,100100390:390,22619,EUROPE SUD,CIMETIERE INTERCOMMUNAL,StopPoint:Node:3552405533,100100390:390,22619,Vélizy - Europe Sud,Cimetière Intercommunal,78.69637536196447
27330,StopPoint:59:5121789,100100391:391,29506,GARE DE VANVES-MALAKOFF,CUVERONS,StopPoint:Node:3585571604,100100391:391,29506,Gare de Vanves–Malakoff,Cuverons,88.62331031995313
27332,StopPoint:59:5121792,100100391:391,8164,PONT ROYAL RER,LES BAS COQUARTS,StopPoint:Node:3585571596,100100391:391,8164,Pont Royal RER (Bagneux),Les Bas Coquarts,91.96026224910013
27345,StopPoint:59:7627567,100100391:391,27303,GARE DE VANVES-MALAKOFF,FRERES LUMIERE,StopPoint:Node:3585571593,100100391:391,27303,Gare de Vanves–Malakoff,Frères Lumière,72.54763093286059
27366,StopPoint:59:3620247,100100393:393,36934,CARREFOUR DE LA RESISTANCE,MARCELLIN BERTHELOT,StopPoint:Node:294082534,100100393:393,36934,Thiais - Carrefour de la Résistance,Marcellin Berthelot,71.09030045081559
27406,StopPoint:59:7275710,100100393:393,26538,CARREFOUR DE LA RESISTANCE,PARC INTERDEPARTEMENTAL DES SPORTS,StopPoint:Node:383550911,100100393:393,26538,Thiais - Carrefour de la Résistance,Parc Interdépartemental des Sports,71.1028390722766
27407,StopPoint:59:3909107,100100394:394,26829,BOURG-LA-REINE RER,CHATEAU SAINTE-BARBE,StopPoint:Node:447891067,100100394:394,26829,Bourg-la-Reine RER,Château Sainte-Barbe,71.44132231281425
27409,StopPoint:59:3909124,100100394:394,28612,ISSY - VAL DE SEINE RER,STADE DU PANORAMA,StopPoint:Node:5339593502,100100394:394,28612,Issy–Val de Seine,Stade du Panorama,82.23508058869565
27503,StopPoint:59:4471800,100100396:396,29871,LA CROIX DE BERNY RER,RUE DES OLIVIERS,StopPoint:Node:5406873961,100100396:396,29871,La Croix de Berny RER,Rue des Oliviers,75.40046623674569
27658,StopPoint:59:6251997,100100487:487,22955,MARCHE DE JUVISY,BELLE ETOILE - LA POMPE,StopPoint:Node:5979566315,100100487:487,22955,Marché de Juvisy,Belle Étoile - La Pompe,86.4617620751609
27659,StopPoint:59:6252004,100100487:487,35891,MARCHE DE JUVISY,CLOS NOLLET,StopPoint:Node:5979566300,100100487:487,35891,Marché de Juvisy,Clos Nollet,117.34044217250845
27660,StopPoint:59:6252006,100100487:487,35890,MARCHE DE JUVISY,DELALANDE PASTEUR,StopPoint:Node:5979566299,100100487:487,35890,Marché de Juvisy,Delalande - Pasteur,96.76704608427865
27663,StopPoint:59:6252018,100100487:487,23019,MARCHE DE JUVISY,LES FONTAINES,StopPoint:Node:5979566295,100100487:487,23019,Marché de Juvisy,Les Fontaines,90.84158384530629
27666,StopPoint:59:6252039,100100487:487,423991,PORTE DE L'ESSONNE,MARCHE DE JUVISY,StopPoint:Node:5979566293,100100487:487,423991,Porte de l'Essonne (Athis-Mons),Marché de Juvisy,224.64300388431724
27709,StopPoint:59:3750040,100100519:NEY-FLA,24604,PORTE D'AUBERVILLIERS - OBERLE.,EVANGILE - AUBERVILLIERS,StopPoint:Node:2472523787,100100519:NEY-FLA,24604,Porte d'Aubervilliers - Oberlé,Évangile - Aubervilliers,120.19258888840699
27747,StopPoint:59:7569242,100100526:MONTBUS,22559,CHATILLON - MONTROUGE-METRO.,CHATILLON - MONTROUGE-METRO,StopPoint:Node:5621313494,100100526:MONTBUS,22559,Châtillon - Montrouge Métro,Châtillon-Montrouge-Métro,107.47780704244488
27748,StopPoint:59:7569261,100100526:MONTBUS,22559,CHATILLON - MONTROUGE-METRO.,CHATILLON - MONTROUGE-METRO.,StopPoint:Node:5621313494,100100526:MONTBUS,22559,Châtillon - Montrouge Métro,Châtillon-Montrouge-Métro,112.67034318059626
27752,StopPoint:59:7569247,100100526:MONTBUS,24205,CHATILLON - MONTROUGE-METRO.,AMAURY DUVAL,StopPoint:Node:5979563826,100100526:MONTBUS,24205,Châtillon - Montrouge Métro,Amaury Duval,88.26017088619126
27789,StopPoint:59:4293197,100100542:V1,37242,MAIRIE DE L'HAY-LES-ROSES,DOCTEUR DURAND,StopPoint:Node:5252104518,100100542:V1,37242,Mairie de L'Hay-les-Roses,Docteur Durand,111.91836534759837
27791,StopPoint:59:4293199,100100542:V1,29162,MAIRIE DE L'HAY-LES-ROSES,CROIX D'ARCUEIL,StopPoint:Node:2140174331,100100542:V1,29162,Mairie de L'Hay-les-Roses,Croix d'Arcueil,161.6957701134096
28051,StopPoint:59:7568973,100100573:PTITBUS,462131,MARCHE - MAIRIE.,JEAN JAURES-BELVEDERE.,StopPoint:Node:5923892381,100100573:PTITBUS,462131,Marché - Mairie,Jean Jaurès - Belvédère,71.78426945574323
28145,StopPoint:59:4458757,100100579:CLAMIBU,26833,MAISON DE QUARTIER - ANDRE CHARRE,VALLEE DU BOIS,StopPoint:Node:5337339644,100100579:CLAMIBU,26833,Maison de Quartier - André Charre,Vallée du Bois,96.04551524434241
28166,StopPoint:59:6682588,100100579:CLAMIBU,26801,GARE DE CLAMART,JARDIN PARISIEN - HOPITAL ANTOINE BECLERE,StopPoint:Node:5337339672,100100579:CLAMIBU,26801,Gare de Clamart,Jardin Parisien-Hôpital Antoine Beclère,79.54923499510551
28578,StopPoint:59:4016293,100987753:N51,24603,GARE SAINT-LAZARE.,BROCHANT - CARDINET,StopPoint:Node:5979566287,100987753:N51,24603,Gare Saint-Lazare,Brochant - Cardinet,85.26188275883321
28634,StopPoint:59:4364025,100987756:N23,26101,CHATELET - HOTEL DE VILLE,LES MARNAUDES,StopPoint:Node:1778481277,100987756:N23,26101,Châtelet - Hôtel de Ville,Les Marnaudes,172.4641560440936
28650,StopPoint:59:4614685,100987756:N23,7824,CHELLES - GOURNAY RER,MEISSONIER,StopPoint:Node:1999250006,100987756:N23,7824,Chelles - Gournay RER,Meissonier,108.7419944081707
