stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
StopPoint:59:4035743,"ROBERT BREMOND","",48.954341,2.457453,4,,0,StopArea:59:3666784,1
StopPoint:59:4274279,"ANATOLE SIGONNEAU - CENTRE D'AFFAIRES","",48.952539,2.462184,3,,0,StopArea:59:4274279,1
StopPoint:59:4274281,"DESCARTES - RENAULT","",48.950668,2.464172,3,,0,StopArea:59:4274281,1
StopPoint:59:4035749,"CIMETIERE DU BLANC-MESNIL","",48.950189,2.457512,3,,0,StopArea:59:4035749,1
StopPoint:59:4117703,"LOUIS BLERIOT","",48.946808,2.44049,3,,0,StopArea:59:4117702,1
StopPoint:59:4117706,"MARIA VALTAT","",48.945528,2.445222,3,,0,StopArea:59:4117706,1
StopPoint:59:4117700,"ALTRINCHAM - LENINE","",48.947754,2.448801,3,,0,StopArea:59:4117699,1
StopPoint:59:4117698,"ALTRINCHAM","",48.947859,2.451517,3,,0,StopArea:59:4117697,1
StopPoint:59:4035750,"COSMONAUTES","",48.949194,2.455736,3,,0,StopArea:59:4035750,1
StopPoint:59:4274291,"DIVISION LECLERC - WALLON","",48.947601,2.458174,3,,0,StopArea:59:4274291,1
StopPoint:59:4274292,"DIVISION LECLERC - LANGEVIN","",48.946746,2.459373,3,,0,StopArea:59:4274292,1
StopPoint:59:4035753,"LIBERATION","",48.94381,2.464687,3,,0,StopArea:59:4035753,1
StopPoint:59:4274295,"AUDRAN","",48.940532,2.462796,3,,0,StopArea:59:4274295,1
StopPoint:59:4035757,"HOTEL DE VILLE DU BLANC-MESNIL","",48.938755,2.4608,3,,0,StopArea:59:4035757,1
StopPoint:59:4035759,"ANCIENNE MAIRIE DE LE_BLANC-MESNIL","",48.937121,2.458764,3,,0,StopArea:59:4035759,1
StopPoint:59:4035761,"ROGER SALOMON","",48.935191,2.456604,3,,0,StopArea:59:4035761,1
StopPoint:59:4274307,"MADELON","",48.92692,2.459844,3,,0,StopArea:59:4274307,1
StopPoint:59:4274308,"CITE DES COQUELICOTS","",48.92513,2.461286,3,,0,StopArea:59:4274308,1
StopPoint:59:4274312,"HAUSSONVILLE","",48.927209,2.45889,3,,0,StopArea:59:4274312,1
StopPoint:59:4274313,"EMILE DESPREZ","",48.929223,2.457299,3,,0,StopArea:59:4274313,1
StopPoint:59:4035762,"ROGER SALOMON","",48.935793,2.457287,3,,0,StopArea:59:4035761,1
StopPoint:59:4035760,"ANCIENNE MAIRIE DE LE_BLANC-MESNIL","",48.937031,2.458886,3,,0,StopArea:59:4035759,1
StopPoint:59:4035758,"HOTEL DE VILLE DU BLANC-MESNIL","",48.939069,2.461347,3,,0,StopArea:59:4035757,1
StopPoint:59:4274296,"AUDRAN","",48.940236,2.462714,3,,0,StopArea:59:4274295,1
StopPoint:59:4035754,"LIBERATION","",48.943495,2.465723,3,,0,StopArea:59:4035753,1
StopPoint:59:4035827,"ROND-POINT DE LA DIVISION LECLERC","",48.947618,2.458529,3,,0,StopArea:59:4035827,1
StopPoint:59:4274290,"COSMONAUTES","",48.948869,2.456663,3,,0,StopArea:59:4035750,1
StopPoint:59:4274284,"CIMETIERE DU BLANC-MESNIL","",48.950028,2.45773,3,,0,StopArea:59:4035749,1
StopPoint:59:4274282,"DESCARTES - RENAULT","",48.950308,2.464157,3,,0,StopArea:59:4274281,1
StopPoint:59:4274280,"ANATOLE SIGONNEAU - CENTRE D'AFFAIRES","",48.952728,2.462021,3,,0,StopArea:59:4274279,1
StopPoint:59:3666784,"ROBERT BREMOND","",48.954341,2.457644,4,,0,StopArea:59:3666784,1
StopPoint:59:3666746,"GARONOR-PORTE SUD","",48.95662,2.461648,4,,0,StopArea:59:3666746,1
StopPoint:59:6682453,"PORTE DES LILAS","",48.877362,2.408604,2,,0,StopArea:59327,1
StopPoint:59:4009042,"LES BRUYERES","",48.878367,2.410976,2,,0,StopArea:59:4009042,1
StopPoint:59:5944519,"CONVENTION","",48.883417,2.411637,2,,0,StopArea:59:5944519,1
StopPoint:59:5944520,"LES POMMIERS","",48.885647,2.410904,2,,0,StopArea:59:5944520,1
StopPoint:59:5944521,"MONTIGNY - MAISON DE RETRAITE","",48.887337,2.410375,2,,0,StopArea:59:5944521,1
StopPoint:59:5944522,"PAUL BERT - CIMETIERE","",48.888712,2.410241,2,,0,StopArea:59:3673624,1
StopPoint:59:5944505,"8 MAI 1945","",48.89059,2.410012,2,,0,StopArea:59:5944505,1
StopPoint:59:6682464,"LYCEE PROFESSIONNEL SIMONE WEIL - EGLISE DE PANTIN","",48.892981,2.409702,2,,0,StopArea:59344,1
StopPoint:59:6682466,"LOUIS NADOT","",48.89618,2.409597,2,,0,StopArea:59:6682466,1
StopPoint:59:6682468,"DELIZY","",48.898169,2.405865,2,,0,StopArea:59:6682468,1
StopPoint:59:6682470,"PANTIN RER - MAIRIE","",48.896724,2.401951,2,,0,StopArea:8711320,1
StopPoint:59:6682472,"PANTIN RER - MAIRIE.","",48.897211,2.399921,2,,0,StopArea:8711320,1
StopPoint:59:4009052,"JEAN MOULIN","",48.899018,2.397347,2,,0,StopArea:8711320,1
StopPoint:59:4009053,"LA PEROUSE","",48.901527,2.394228,2,,0,StopArea:59:4009053,1
StopPoint:59:4009054,"QUATRE CHEMINS - EDOUARD VAILLANT","",48.9032,2.392594,2,,0,StopArea:59318,1
StopPoint:59:6682480,"QUATRE CHEMINS - REPUBLIQUE","",48.904126,2.391668,2,,0,StopArea:59318,1
StopPoint:59:6682482,"HOPITAL LA ROSERAIE","",48.906203,2.389898,2,,0,StopArea:59:3972549,1
StopPoint:59:6682484,"PAUL BERT","",48.909123,2.390801,2,,0,StopArea:59:6682484,1
StopPoint:59:6682486,"LES ROSES","",48.911765,2.39143,2,,0,StopArea:59:6682486,1
StopPoint:59:6682487,"MAISON DE RETRAITE","",48.914676,2.392183,2,,0,StopArea:59:6682487,1
StopPoint:59:6682489,"CIMETIERE - PONT BLANC","",48.916779,2.393018,2,,0,StopArea:59:6682489,1
StopPoint:59:6673031,"DANIELLE CASANOVA - PONT BLANC","",48.91881,2.393647,3,,0,StopArea:59:4758979,1
StopPoint:59:6673033,"PETIT CHEMIN DU PONT BLANC","",48.920967,2.392531,3,,0,StopArea:59:6673033,1
StopPoint:59:6682495,"LA COURNEUVE - AUBERVILLIERS RER","",48.923298,2.384706,3,,0,StopArea:8727130,1
StopPoint:59:6682497,"GENERAL SCHRAMM","",48.924376,2.385457,3,,0,StopArea:8727130,1
