,gtfs_stop_id,gtfs_route_id,gtfs_ZDEr_ID_REF_A,gtfs_stop_name,gtfs_stop_lat,gtfs_stop_lon,gtfs_wheelchair_boarding,gtfs_dest_name,gtfs_route_short_name,gtfs_agency_name,osm_network,osm_osm:ref:FR:STIF:ExternalCode_Line,osm_name,osm_code,osm_lat,osm_route_id,osm_line_id,osm_osm:ref:FR:STIF:stop_id,osm_stop_id,osm_osm:ref:FR:STIF,osm_lon,osm_destination,destination_confidence,line_code_confidence,line_code_confidence_rounded,name_confidence,name_confidence_rounded,name_confidence_lower,name_confidence_lower_rounded,distance
6193,StopPoint:50:7674,027027010:10,20631,République,48.799062,2.069769,0,Gare Versailles Château Rive Gauche,10,HOURTOULE,Hourtoule,027027010:10,République,10,48.7995996,Route:Relation:4277354,Line:Relation:7532322,StopPoint:50:7674,StopPoint:Node:4489400520,20631,2.0706203999999997,Versailles Rive-Gauche,0.7368421052631579,1.0,100.0,1.0,100.0,1.0,100.0,86.52430047731211
6196,StopPoint:50:14653,027027011:11,21071,Erich Von Stroheim,48.806648,2.011777,1,Erich Von Stroheim,11,HOURTOULE,Hourtoule,027027011:11,Erich Von Stroheim,11,48.8058489,Route:Relation:8402859,Line:Relation:8402861,StopPoint:50:14653,StopPoint:Node:5711812696,21071,2.0118772,Erich Von Stroheim,1.0,1.0,100.0,1.0,100.0,1.0,100.0,89.16898271259176
6197,StopPoint:50:14654,027027011:11,25021,Fritz Lang,48.801666,2.01091,1,Erich Von Stroheim,11,HOURTOULE,Hourtoule,027027011:11,Fritz Lang,11,48.8008074,Route:Relation:8402859,Line:Relation:8402861,StopPoint:50:14654,StopPoint:Node:1319236384,25021,2.0116693,Erich Von Stroheim,1.0,1.0,100.0,1.0,100.0,1.0,100.0,110.58078718707449
6201,StopPoint:50:14733,027027011:11,20750,Arletty,48.803087,2.011214,1,Gare Versailles Château Rive Gauche,11,HOURTOULE,Hourtoule,027027011:11,Arletty,11,48.803753799999996,Route:Relation:8402860,Line:Relation:8402861,StopPoint:50:14733,StopPoint:Node:3217119457,20750,2.0113282999999997,Versailles Château Rive-Gauche,0.8923076923076924,1.0,100.0,1.0,100.0,1.0,100.0,74.62596758726353
6219,StopPoint:50:5628,027027011:11,20792,Le Puits,48.801072,2.024152,1,Erich Von Stroheim,11,HOURTOULE,Hourtoule,027027011:11,Le Puits,11,48.8013994,Route:Relation:8402859,Line:Relation:8402861,StopPoint:41:6157,StopPoint:Node:1223209510,20792,2.0251669999999997,Erich Von Stroheim,1.0,1.0,100.0,1.0,100.0,1.0,100.0,82.97866304838269
6222,StopPoint:50:7678,027027011:11,5859,Terrier Blanc,48.797557,2.055954,1,Gare Versailles Château Rive Gauche,11,HOURTOULE,Hourtoule,027027011:11,Terrier Blanc,11,48.797696699999996,Route:Relation:8402860,Line:Relation:8402861,StopPoint:41:6505;StopPoint:50:7678,StopPoint:Node:5331264684,5859,2.0548827,Versailles Château Rive-Gauche,0.8923076923076924,1.0,100.0,1.0,100.0,1.0,100.0,80.22462468208502
6223,StopPoint:50:7679,027027011:11,25010,Terrier Blanc,48.797584,2.056308,1,Erich Von Stroheim,11,HOURTOULE,Hourtoule,027027011:11,Terrier Blanc,11,48.7979317,Route:Relation:8402859,Line:Relation:8402861,StopPoint:41:6504;StopPoint:50:7679,StopPoint:Node:5331264685,25010,2.05387,Erich Von Stroheim,1.0,1.0,100.0,1.0,100.0,1.0,100.0,183.24000913801385
6226,StopPoint:50:8164,027027011:11,5893,INRA,48.801758,2.086014,0,Gare Versailles Château Rive Gauche,11,HOURTOULE,Hourtoule,027027011:11,INRA,11,48.8018509,Route:Relation:8402860,Line:Relation:8402861,StopPoint:41:5911;StopPoint:50:8164,StopPoint:Node:5331168579,5893,2.088437,Versailles Château Rive-Gauche,0.8923076923076924,1.0,100.0,1.0,100.0,1.0,100.0,178.29721204801314
6227,StopPoint:50:8165,027027011:11,5894,INRA,48.801871,2.08849,0,Erich Von Stroheim,11,HOURTOULE,Hourtoule,027027011:11,INRA,11,48.801778899999995,Route:Relation:8402859,Line:Relation:8402861,StopPoint:50:8165;StopPoint:41:5906,StopPoint:Node:5630031645,5894,2.0860049,Erich Von Stroheim,1.0,1.0,100.0,1.0,100.0,1.0,100.0,182.8466298897401
6232,StopPoint:50:8175,027027011:11,4151,Les Matelots,48.803435,2.106116,0,Erich Von Stroheim,11,HOURTOULE,Hourtoule,027027011:11,Les Matelots,11,48.803494099999995,Route:Relation:8402859,Line:Relation:8402861,StopPoint:41:5904;StopPoint:50:8175,StopPoint:Node:3444487354,4151,2.1047985,Erich Von Stroheim,1.0,1.0,100.0,1.0,100.0,1.0,100.0,97.0054691404115
